Year,Q03,Q21,Q24,Q27,Q28,Q29,Q30,Q32,Q34,Q67,Q74,Q79,Q36,Q38,Q40,Q42,Q44,Q48,Q49
2015,0.849,,,1.258,0.77,,,,1.12,,,0.363,2.205,,,,,0.735,2.144
2014,0.923,,,0.954,0.561,,,,1.021,,,0.347,1.126,,,,,1.224,1.717
2013,1.057,,,0.583,0.635,,,,0.995,,,0.441,1.055,,,,,0.919,1.141
2012,1.201,,,0.664,0.665,,,,0.965,,,0.645,1.251,1.149,0.777,0.8,0.99,1.241,1.298
2011,0.98,0.291,0.552,0.378,0.399,0.664,0.914,0.081,1.245,0.239,1.407,0.307,1.39,0.9590001,0.632,0.435,0.678,0.838,0.9350001
2010,1.049,0.492,0.615,0.406,0.502,0.545,1.168,0.046,1.464,0.335,1.193,0.247,1.811,1.168,0.635,0.447,0.8850001,1.024,1.035
2009,1.167,0.612,0.764,0.335,0.566,0.67,1.396,0.08000001,1.226,0.357,1.262,0.207,2.03,1.133,0.8800001,0.446,0.973,0.9260001,1.246
2008,1.395,0.509,0.6,0.297,0.669,0.611,1.237,0.11,1.3,0.344,1.227,0.227,1.646,0.901,0.864,0.366,0.956,0.84,1.231
2007,1.024,0.5510001,0.679,0.369,0.684,0.674,1.217,0.102,1.19,0.383,1.297,0.23,1.295,1.066,0.798,0.475,0.946,0.77,1.407
2006,1.175,0.723,0.851,0.533,0.92,0.699,1.326,0.159,1.33,0.445,1.319,0.298,1.352,1.2,1.015,0.747,1.114,0.78,1.334
2005,1.206,0.595,0.915,0.51,0.929,0.715,1.423,0.185,1.482,0.347,1.328,0.29,1.456,1.354,1.058,0.573,1.386,0.694,1.462
2004,1.426,0.761,0.6760001,0.554,0.841,0.904,1.359,0.168,1.542,0.42,1.57,0.211,1.586,1.419,0.857,0.546,1.558,0.781,1.581
2003,1.345,0.6760001,0.7320001,0.537,0.798,0.897,1.604,0.13,1.316,0.43,1.477,0.25,1.554,1.345,0.93,0.62,1.273,0.934,1.878
2002,1.32,0.822,0.658,0.812,0.685,0.933,1.744,0.122,1.53,0.54,1.46,0.318,1.528,1.567,1.053,0.689,1.416,1.168,1.823
2001,1.564,0.9,0.615,0.934,0.705,0.963,2.164,0.143,1.691,0.619,1.463,0.417,1.689,1.525,1.163,0.794,1.466,1.252,1.963
2000,1.494,0.711,0.593,0.686,0.69,1.208,1.682,0.116,1.667,0.531,1.387,0.37,1.851,1.681,1.02,0.451,1.34,1.408,1.997
1999,1.161,0.48,0.5840001,0.297,0.6,1.248,0.887,0.16,1.209,0.386,0.835,0.206,1.4,1.341,0.744,0.259,0.831,1.222,1.527
1998,1.563,0.672,0.654,0.391,0.644,1.211,1.199,0.148,1.539,0.59,1.373,0.223,1.207,1.536,0.717,0.414,0.793,1.52,2.152
1997,1.461,0.589,0.752,0.266,0.597,0.625,1.025,0.153,1.36,0.416,0.855,0.209,1.101,1.098,0.539,0.301,0.632,1.074,1.457
1996,1.217,0.697,0.684,0.358,0.803,0.713,1.298,0.137,1.646,0.454,1.146,0.387,1.156,1.459,0.623,0.406,0.98,1.28,1.664
1995,1.026,0.602,0.776,0.352,0.694,0.706,1.137,0.107,1.329,0.417,0.71,0.314,1.259,1.25,0.624,0.402,1.094,1.224,1.107
1994,1.453,0.678,0.759,0.381,0.844,0.865,1.542,0.206,1.441,0.665,0.9770001,0.642,1.619,1.418,0.99,0.739,1.315,1.693,1.655
1993,1.067,0.347,0.587,0.282,0.539,0.651,1.129,0.139,1.39,0.391,0.552,0.446,1.145,1.222,0.894,0.583,0.962,0.89,1.152
1992,1.246,0.445,0.691,0.337,0.612,0.872,1.221,0.199,2.039,0.529,1.05,0.407,1.445,1.217,0.874,0.561,1.199,1.312,1.607
1991,0.826,0.312,0.638,0.234,0.409,0.416,0.883,0.154,1.185,0.425,0.547,0.306,0.9350001,0.986,0.693,0.385,0.742,1.102,0.851
1990,1.322,0.602,0.776,0.294,0.766,0.711,1.387,0.188,1.209,0.661,0.74,0.478,1.553,1.284,0.9520001,0.719,1.083,1.426,1.262
1989,1.05,0.429,0.524,0.201,0.466,0.514,1.166,0.161,0.746,0.493,0.426,0.336,1.183,0.989,0.64,0.527,0.722,0.971,0.901
1988,1.069,0.681,0.782,0.203,0.567,0.493,1.25,0.165,0.9060001,0.46,0.58,0.37,1.178,0.892,0.996,0.577,0.964,0.947,0.949
1987,1.17,0.905,0.976,0.233,0.792,0.54,1.42,0.173,1.319,0.504,0.685,0.65,1.33,1.271,1.195,0.62,1.282,1.248,1.161
1986,1.013,0.726,1.012,0.176,0.582,0.484,1.228,0.102,1.296,0.458,0.448,0.644,1.393,1.331,0.826,0.394,1.021,1.083,1.054
1985,0.811,0.754,0.915,0.232,0.716,0.661,1.204,0.229,0.876,0.426,0.483,0.44,1.454,1.401,0.853,0.389,0.9350001,1.15,1.104
1984,0.879,0.643,0.779,0.229,0.68,0.509,1.057,0.229,1.161,0.403,0.366,0.377,1.756,1.203,0.877,0.383,0.824,1.242,1.141
1983,0.71,0.65,0.8800001,0.238,0.637,0.283,0.9720001,0.165,1.396,0.366,0.431,0.372,1.635,1.157,0.622,0.415,0.826,0.955,1.134
1982,0.493,0.535,0.644,0.164,0.494,0.477,0.577,0.181,1.105,0.349,0.373,0.33,1.101,0.707,0.559,0.333,0.791,0.875,0.773
1981,0.8010001,0.888,0.8890001,0.203,0.688,0.456,1.152,0.212,1.344,0.364,0.535,0.377,1.359,1.087,0.698,0.434,1.321,1.266,0.987
1980,0.868,0.802,0.861,0.244,0.682,0.486,1.051,0.215,1.159,0.359,0.431,0.391,1.037,0.98,0.706,0.362,1.197,1.151,0.851
1979,0.797,0.754,0.759,0.229,0.559,0.465,0.9850001,0.162,0.797,0.305,0.432,0.445,0.8520001,0.947,0.701,0.4,1.211,0.953,0.734
1978,0.8430001,0.853,0.838,0.24,0.583,0.531,1.031,0.185,1.032,0.361,0.416,0.475,1,1.009,0.595,0.38,1.359,1.175,0.971
1977,1.111,1.004,1.015,0.292,0.703,0.704,1.607,0.189,1.412,0.591,0.472,0.49,1.913,1.135,0.798,0.535,1.618,1.6,1.402
1976,0.8850001,0.898,0.821,0.224,0.545,0.572,1.159,0.179,1.32,0.449,0.321,0.357,1.717,0.8850001,0.7090001,0.382,1.195,1.141,0.91
1975,1.14,0.999,0.765,0.296,0.6760001,0.577,1.17,0.243,1.234,0.475,0.394,0.344,1.391,0.8340001,0.623,0.497,0.989,0.9590001,0.821
1974,0.726,0.504,0.652,0.192,0.445,0.351,0.67,0.106,0.666,0.384,0.257,0.229,0.789,0.461,0.472,0.28,0.718,0.758,0.424
1973,0.909,0.919,0.76,0.245,0.561,0.6300001,1.287,0.213,0.83,0.514,0.418,0.435,1.491,0.633,0.618,0.5050001,1.196,1.142,0.841
1972,0.763,0.626,0.598,0.203,0.467,0.503,0.821,0.131,0.914,0.387,0.296,0.201,1.522,0.558,0.39,0.254,0.994,0.825,0.571
1971,0.832,0.782,0.7550001,0.266,0.569,0.678,1.008,0.213,1.037,0.442,0.416,0.201,0.849,0.6300001,0.521,0.396,0.997,1.183,0.842
1970,0.962,0.914,0.869,0.301,0.717,0.656,1.383,0.243,1.12,0.467,0.501,0.391,0.961,0.894,0.641,0.655,1.159,1.193,1.037
1969,0.836,0.691,0.795,0.254,0.55,0.494,1.176,0.149,1.095,0.417,0.383,0.308,0.861,0.938,0.565,0.454,0.997,1.085,0.84
1968,0.844,0.953,0.829,0.249,0.571,0.5510001,1.417,0.196,1.228,0.398,0.54,0.444,1.036,1.172,0.677,0.739,1.238,1.173,1.021
1967,1.107,1.15,0.891,0.343,0.742,0.508,1.636,0.212,1.52,0.599,0.646,0.589,1.104,1.036,0.8430001,0.799,1.127,1.615,1.147
1966,0.903,0.82,0.8470001,0.319,0.646,0.6070001,1.374,0.195,1.53,0.51,0.537,0.637,1.226,1.029,0.809,0.581,1.08,1.411,1.037
1965,0.9220001,0.948,0.971,0.367,0.771,0.67,1.521,0.218,1.318,0.614,0.59,0.392,1.061,0.954,0.759,0.476,0.953,1.452,1.182
