Year,RWI
1880,0.796550977
1881,0.889328787
1882,0.996175843
1883,1.154529003
1884,0.891559675
1885,1.036425574
1886,1.244141661
1887,0.887857473
1888,1.040697078
1889,1.104832583
1890,1.111551607
1891,1.199623031
1892,0.937616661
1893,1.035479162
1894,0.785229578
1895,1.077569183
1896,0.917623156
1897,0.851155025
1898,1.129422579
1899,0.579021197
1900,0.923236797
1901,0.990139089
1902,1.089155723
1903,0.935559488
1904,1.230612977
1905,1.054489785
1906,0.863819811
1907,1.094327981
1908,1.198428967
1909,1.007485715
1910,0.911168239
1911,1.095556937
1912,0.970588417
1913,0.937442355
1914,1.14369631
1915,1.062433891
1916,0.807421887
1917,0.827485763
1918,1.070113199
1919,0.955837347
1920,1.114404364
1921,0.814933862
1922,1.066511373
1923,0.890217862
1924,0.950217164
1925,0.915912862
1926,0.909386299
1927,0.886683134
1928,0.953949436
1929,0.968812901
1930,1.032844684
1931,1.07588816
1932,0.990439188
1933,0.960937623
1934,0.987249285
1935,1.185178123
1936,1.036111656
1937,0.976193033
1938,1.165677422
1939,0.970466164
1940,1.215597415
1941,1.264439564
1942,1.160506859
1943,0.982274564
1944,1.160737642
1945,1.332631645
1946,0.968262417
1947,0.798337071
1948,1.202624375
1949,0.881903027
1950,0.940870802
1951,1.130247388
1952,0.95186695
1953,0.944897901
1954,0.770624601
1955,0.912844583
1956,0.727531124
1957,0.864293758
1958,1.088428063
1959,0.783867395
1960,1.060164484
1961,1.069707341
1962,0.88366252
1963,1.117876097
1964,0.773880454
1965,1.082654571
1966,0.983684619
1967,1.143792632
1968,1.039342743
1969,1.012004207
1970,1.210456651
1971,1.105455637
1972,0.681226911
1973,1.158064836
1974,0.657269096
1975,0.99057985
1976,0.696506691
1977,1.184202031
1978,0.912006035
1979,0.964465201
1980,1.109982066
1981,1.190573116
1982,0.867056582
1983,0.793652606
1984,1.103109371
1985,1.078861948
1986,0.873121498
1987,1.079275914
1988,1.003404863
1989,0.782385777
1990,1.336619523
1991,0.78628468
1992,1.115293401
1993,0.702128688
1994,1.169343886
1995,0.986157002
1996,1.201769258
1997,0.631607574
1998,1.461120563
1999,0.715613836
2000,1.08415358
2001,1.157404216
2002,0.982118646
2003,1.105229114
2004,1.006258182
2005,1.061553982
2006,1.207721311
2007,0.987944932
2008,0.794029983
2009,1.001548485
2010,0.983364728
2011,0.791094014
2012,0.899134786
2013,0.81472404
2014,1.205197382
2015,NA
