Year,RWI
1880,0.757273568
1881,1.101469272
1882,0.83921557
1883,1.091711644
1884,0.96284536
1885,0.987270905
1886,1.112909591
1887,0.950076928
1888,1.12218536
1889,1.177588068
1890,1.078622808
1891,1.085192701
1892,0.973655769
1893,1.030077768
1894,0.756150061
1895,0.878683037
1896,0.757503338
1897,1.03154072
1898,0.952294549
1899,0.579369766
1900,0.955594168
1901,0.981420008
1902,1.044220348
1903,0.701262872
1904,1.223399683
1905,1.22229656
1906,1.122786603
1907,1.215047645
1908,1.187483
1909,0.91495581
1910,1.213117293
1911,1.079498473
1912,1.140651238
1913,0.831472724
1914,1.135542529
1915,1.308023813
1916,0.707958518
1917,0.932492695
1918,1.020988075
1919,0.947346763
1920,1.189763491
1921,0.802303169
1922,1.039824777
1923,0.912854667
1924,1.068195293
1925,1.079299699
1926,1.042731772
1927,0.926443451
1928,0.968238253
1929,0.998989735
1930,1.048841723
1931,0.975251668
1932,0.881583061
1933,0.945851766
1934,0.93267884
1935,0.897273861
1936,0.853339281
1937,0.789788655
1938,0.999976899
1939,1.041126824
1940,1.034784191
1941,1.060365321
1942,1.094859255
1943,0.908992219
1944,0.933396363
1945,1.091275595
1946,1.025615057
1947,0.990772488
1948,0.928527444
1949,0.926751852
1950,0.933476865
1951,0.914709237
1952,1.127827152
1953,1.099934574
1954,0.879251013
1955,1.09392052
1956,0.796936598
1957,0.845683969
1958,1.065451647
1959,0.905479263
1960,1.395667873
1961,1.14809363
1962,1.084268387
1963,1.318896202
1964,0.711022907
1965,1.250849788
1966,1.198184591
1967,1.051013464
1968,1.059372517
1969,1.001165879
1970,0.961076576
1971,1.127205307
1972,0.983373172
1973,0.977834487
1974,0.651047381
1975,0.956181522
1976,0.8600064
1977,1.084669204
1978,0.870285495
1979,0.981623954
1980,0.975177438
1981,1.109317529
1982,0.726893869
1983,0.85460531
1984,1.06740979
1985,0.995365297
1986,0.938014175
1987,0.880601849
1988,1.005860349
1989,0.940482689
1990,1.063013906
1991,0.733349613
1992,1.173571417
1993,0.889382519
1994,1.210839294
1995,0.85006789
1996,1.251888864
1997,0.834123667
1998,1.094787935
1999,0.764247357
2000,1.125123348
2001,1.156439732
2002,0.879892704
2003,1.021502587
2004,1.212634695
2005,1.056902714
2006,0.917579185
2007,1.096426352
2008,1.029990314
2009,1.059268912
2010,0.985937426
2011,0.797099941
2012,0.839708341
2013,1.084120317
2014,1.052914206
2015,NA
