id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,8.6,1808,260,185,154,7,2.4,9.8,11.5,18.3,20.4,22.2,24.2,17.9,11.7,9.8,5.5,0.4,-4.6,-0.8,2.7,6.4,7.7,9.8,11.3,7.7,1.8,1.7,0.7,3.7,-1.1,4.5,7.1,12.4,14,16,17.8,12.8,6.8,5.8,3.1,135,200,59,150,77,63,40,50,142,180,61,233
AG05,2,46.7473436,-121.8043788,940,7.4,1546,241,172,261,5.8,1,8.1,10,16.6,18.8,20.8,22.8,16.6,10.5,8.6,4.2,-0.6,-5.7,-1.9,1.6,5.4,6.8,9.2,10.9,7.2,1.1,0.8,-0.5,2.6,-2.4,3.1,5.8,11,12.8,15,16.9,11.9,5.8,4.7,1.9,156,234,64,168,85,63,39,53,161,203,66,262
AV06,3,46.77629794,-121.7842335,1069,6.7,1380,230,169,404,5.2,0.4,7.3,9.1,15.4,17.3,19.6,21.4,15.3,9.5,7.9,3.8,-1.3,-6.3,-2.5,1.1,4.9,6.3,8.9,10.6,7.2,0.7,0.3,-1.2,2,-2.9,2.4,5.1,10.2,11.8,14.2,16,11.2,5.1,4.1,1.3,209,306,86,223,100,67,43,60,185,249,84,352
AM16,4,46.7686046,-121.757518,1206,6,1232,219,162,493,4.6,-0.3,6.5,8.3,14.5,16.2,18.5,20.3,14.2,8.6,7.3,3.3,-1.8,-6.8,-3.1,0.4,4.3,5.6,8.5,10.3,6.9,0.3,-0.2,-1.7,1.4,-3.5,1.7,4.4,9.4,10.9,13.5,15.3,10.6,4.4,3.5,0.8,215,316,89,232,104,67,42,60,191,255,84,364
AE10,5,46.76820597,-121.7432644,1455,5,1028,202,153,662,3.8,-1.3,5.5,7.1,13.1,14.8,17.2,19,12.9,7.3,6.3,2.4,-2.6,-7.6,-4.1,-0.6,3.4,4.7,7.8,9.7,6.4,-0.5,-1,-2.5,0.6,-4.4,0.7,3.2,8.2,9.8,12.5,14.3,9.7,3.4,2.6,-0.1,229,335,95,245,109,66,43,62,194,263,88,390
PARA,6,46.77645454,-121.7323181,1620,4.4,909,191,148,811,3.2,-2,4.7,6.3,12.3,13.9,16.4,18.2,12.1,6.5,5.6,1.7,-3.1,-8.2,-4.9,-1.2,2.9,4.1,7.3,9.2,6.1,-1,-1.6,-3,0.1,-5.1,-0.1,2.5,7.6,9,11.8,13.7,9.1,2.8,2,-0.7,243,350,103,258,114,67,44,65,199,270,93,415
TA01,7,46.74125599,-121.5580695,709,7.9,1688,244,176,270,5.9,1.3,8.1,10.7,17.5,19.9,22.7,24.7,17.9,10.7,8.8,4.6,-0.3,-5.8,-1.8,2,5.8,7.2,9.3,10.8,7.3,1.1,1,-0.4,2.8,-2.2,3.1,6.3,11.7,13.5,16,17.8,12.6,5.9,4.9,2.1,169,268,63,143,85,43,24,44,121,193,59,297
AO03,8,46.82679491,-121.5481655,906,6.7,1430,223,162,293,4.7,-0.1,6.7,9.2,16,18.5,21.1,23.3,16.2,9.2,7.5,3.5,-1.5,-6.9,-2.9,0.9,4.7,6.2,8.7,10.3,6.5,0.3,0,-1.6,1.6,-3.5,1.9,5,10.3,12.3,14.9,16.8,11.3,4.8,3.8,0.9,137,202,60,121,66,38,24,36,96,152,55,238
AB08,9,46.92012097,-121.5372401,1061,5.8,1255,211,155,326,3.7,-1.1,5.9,8.3,14.9,17.2,19.6,21.8,15,8.3,6.5,2.4,-2.1,-7.5,-3.6,0.2,4.1,5.4,8.1,9.7,6.1,-0.3,-0.7,-2.1,0.8,-4.3,1.2,4.2,9.5,11.3,13.9,15.8,10.6,4,2.9,0.1,132,180,61,116,61,37,26,32,88,138,57,215
SUNR,10,46.92860325,-121.6550646,1817,3.5,788,174,140,617,2,-3.2,3.8,5.4,11.5,13.2,15.7,17.7,11.8,5.5,4.2,0.5,-4,-9.4,-6,-2.1,2.1,3.1,6.4,8.3,5.6,-1.9,-2.7,-3.9,-1,-6.3,-1.1,1.7,6.8,8.2,11.1,13,8.7,1.8,0.8,-1.7,159,222,69,148,73,47,41,40,121,156,67,260
AR07,11,46.77625738,-121.7479238,1483,4.8,993,199,152,716,3.6,-1.5,5.2,6.9,12.9,14.5,17,18.7,12.7,7.1,6.1,2.2,-2.8,-7.8,-4.3,-0.8,3.3,4.5,7.6,9.5,6.3,-0.6,-1.2,-2.7,0.4,-4.7,0.5,3.1,8.1,9.5,12.3,14.1,9.5,3.2,2.4,-0.2,237,343,100,254,111,67,43,63,199,269,92,407
AX15,12,46.75028896,-121.8246074,1105,6.9,1429,231,168,326,5.3,0.5,7.6,9.3,15.9,18,20.1,22.1,16,9.9,8,3.7,-1.1,-6.2,-2.5,1.1,4.9,6.2,8.8,10.5,7,0.7,0.3,-1,2.1,-2.9,2.5,5.2,10.4,12.1,14.5,16.3,11.5,5.3,4.2,1.4,170,251,71,179,86,63,41,55,164,212,71,287
TB13,13,46.74041198,-121.8480313,856,7.9,1670,248,177,208,6.2,1.6,8.9,10.6,17.4,19.7,21.6,23.7,17.5,11.2,9.1,4.7,-0.3,-5.3,-1.5,2.1,5.8,7.2,9.5,11,7.4,1.4,1.1,-0.1,3,-1.8,3.7,6.3,11.6,13.4,15.6,17.4,12.4,6.3,5.1,2.3,146,216,62,155,79,62,39,52,149,189,63,247
