id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,8.5,1767,253,166,203,2.8,8.3,11.9,13.8,20.2,18.8,23,22.8,21.6,13,6.9,5.5,-4.7,-1,0.5,1.8,4.9,6.5,8.4,7.7,6.7,4.5,0.3,-0.6,-1,3.7,6.2,7.8,12.6,12.7,15.7,15.2,14.2,8.8,3.6,2.5,254,155,128,131,19,173,40,18,100,348,214,170
AG05,2,46.7473436,-121.8043788,940,7.3,1497,231,153,353,1.6,6.9,10.4,12.3,18.7,17.1,21.7,21.3,20.4,11.8,5.6,4.2,-5.9,-2.1,-0.7,0.7,3.9,5.5,7.8,7.2,6.4,3.9,-0.8,-1.9,-2.2,2.4,4.9,6.5,11.3,11.3,14.8,14.2,13.4,7.9,2.4,1.2,298,181,143,146,21,182,40,19,120,400,247,189
AV06,3,46.77629794,-121.7842335,1069,6.6,1317,220,148,565,1,6.2,9.6,11.4,17.5,15.6,20.5,19.9,19,10.7,4.9,3.7,-6.5,-2.7,-1.2,0.1,3.4,4.9,7.5,6.9,6.3,3.4,-1.4,-2.6,-2.8,1.8,4.2,5.8,10.4,10.2,14,13.4,12.7,7,1.8,0.6,400,238,192,193,25,194,43,22,139,487,314,255
AM16,4,46.7686046,-121.757518,1206,5.9,1170,208,140,704,0.4,5.6,8.8,10.6,16.5,14.5,19.5,18.8,18,9.9,4.2,3.2,-7.1,-3.2,-1.9,-0.6,2.8,4.3,7.1,6.6,6,3,-1.9,-3.1,-3.3,1.2,3.5,5,9.7,9.4,13.3,12.7,12,6.4,1.2,0.1,414,246,201,201,26,196,43,22,146,504,323,262
AE10,5,46.76820597,-121.7432644,1455,4.9,967,190,130,974,-0.4,4.6,7.8,9.4,15.2,13.1,18.2,17.5,16.7,8.6,3.2,2.3,-7.9,-4,-2.9,-1.6,2,3.3,6.4,6,5.6,2.2,-2.8,-3.9,-4.2,0.3,2.5,3.9,8.6,8.2,12.3,11.8,11.1,5.4,0.2,-0.8,439,259,216,212,27,197,44,23,150,523,339,280
PARA,6,46.77645454,-121.7323181,1620,4.3,841,179,123,1213,-1,3.9,7,8.6,14.4,12.2,17.4,16.7,15.9,7.8,2.5,1.6,-8.4,-4.6,-3.6,-2.2,1.4,2.7,5.9,5.5,5.3,1.7,-3.4,-4.4,-4.7,-0.3,1.7,3.2,7.9,7.4,11.6,11.1,10.6,4.8,-0.4,-1.4,462,270,230,223,28,199,45,24,154,536,356,298
TA01,7,46.74125599,-121.5580695,709,7.9,1657,235,159,322,2,7.5,11,13.1,19.7,18.2,23.8,23,21.7,12.1,5.9,4.5,-5.8,-2.1,-0.4,1,4.4,5.7,8,7.2,6.7,3.9,-0.7,-1.8,-1.9,2.7,5.3,7,12.1,11.9,15.9,15.1,14.2,8,2.6,1.4,285,183,130,120,16,138,27,15,104,406,233,206
AO03,8,46.82679491,-121.5481655,906,6.7,1381,214,142,380,0.7,6.1,9.6,11.6,18.1,16.7,22.2,21.7,19.9,10.6,4.7,3.4,-6.9,-3.2,-1.5,-0.1,3.3,4.8,7.4,6.6,5.8,3,-1.6,-2.9,-3.1,1.4,4,5.8,10.7,10.8,14.8,14.1,12.8,6.8,1.6,0.2,232,142,122,100,14,114,26,13,79,311,206,167
AB08,9,46.92012097,-121.5372401,1061,5.8,1188,200,133,452,-0.2,5,8.6,10.8,17,15.5,20.7,20.2,18.5,9.6,3.8,2.3,-7.5,-3.9,-2.3,-0.8,2.7,4,6.7,6,5.2,2.4,-2.2,-3.5,-3.9,0.6,3.1,5,9.8,9.8,13.7,13.1,11.8,6,0.8,-0.6,222,132,122,95,15,105,28,13,70,274,205,152
SUNR,10,46.92860325,-121.6550646,1817,3.4,713,160,113,927,-2.1,2.8,6.1,7.8,13.4,11.6,16.7,16.2,15.3,6.9,1.4,0.4,-9.3,-5.8,-4.7,-3.1,0.7,1.8,5.1,4.6,4.6,0.7,-4.3,-5.2,-5.7,-1.5,0.7,2.3,7,6.7,10.9,10.4,9.9,3.8,-1.4,-2.4,283,173,146,122,21,132,41,17,92,302,234,188
