"","year","GDD_yearly_st","GDD_yearly_climateNA","DD5"
"1",1916,638.973225711839,602,708
"2",1917,844.017681077363,726.45,864
"3",1918,903.414474183334,810.45,911
"4",1919,688.091463430494,653.9,775
"5",1920,703.05,659.25,752
"6",1921,590.176402410386,565.2,689
"7",1922,775.75,805.85,904
"8",1923,712.133898343171,734.2,873
"9",1924,631.110579250064,730.9,817
"10",1925,712.605171256394,745.4,855
"11",1926,885.21589302825,705.35,882
"12",1927,762.867653407648,676,780
"13",1928,649.684821876496,763.9,858
"14",1929,927.75,691.9,808
"15",1930,923.372680412371,661.05,797
"16",1931,828.117129141388,730.8,831
"17",1932,790.741097956835,640.15,769
"18",1933,765.878075123269,602.8,722
"19",1934,953.95,785.25,930
"20",1935,734.9,700.15,798
"21",1936,981.85,791.45,896
"22",1937,771.615993164596,734.85,845
"23",1938,1039.65,802.05,917
"24",1939,842.986520833333,700.4,868
"25",1940,934.3,920.05,1008
"26",1941,796.4,678.15,839
"27",1942,950.627111208598,771.85,901
"28",1943,890.557918792517,661.2,808
"29",1944,863.322775771339,778.45,876
"30",1945,742.866265945038,698.1,811
"31",1946,709.531284078593,685.1,774
"32",1947,741.068422387318,683.8,796
"33",1948,664.91031232104,614.1,703
"34",1949,655.28346858812,655.6,778
"35",1950,723.444768116392,684.85,791
"36",1951,858.413363123674,744.65,859
"37",1952,902.267193469364,813.3,923
"38",1953,691.784032416537,624.85,758
"39",1954,560.581397286274,452.5,597
"40",1955,669.776595744681,522.1,610
"41",1956,696.789013221094,686.45,794
"42",1957,739.361195430615,694.9,781
"43",1958,1145.10360824742,1025.55,1101
"44",1959,675.45,600,718
"45",1960,937.1,701.7,816
"46",1961,982.05,820.45,925
"47",1962,851.55,615.1,734
"48",1963,802.268229166667,669.7,795
"49",1964,627.95,526.75,634
"50",1965,886.292467814334,708.4,819
"51",1966,729.247557218999,641.55,765
"52",1967,1053.35,923.7,1035
"53",1968,729.554166666667,640.4,752
"54",1969,745.625520833333,749,833
"55",1970,712.763131313131,694.55,795
"56",1971,777.7,610.7,750
"57",1972,813.35,641.45,741
"58",1973,683.25,632.9,741
"59",1974,865.2,745.7,840
"60",1975,669.85,614.15,713
"61",1976,673.75,554.3,698
"62",1977,703.899484536082,668.65,780
"63",1978,683.1,651.35,756
"64",1979,844.102083333333,753.3,863
"65",1980,490.7,520.1,672
"66",1981,734.15,655.5,773
"67",1982,711.328787878788,645.45,727
"68",1983,592.206701030928,519.65,637
"69",1984,567.05,545.9,630
"70",1985,763.723958333333,632.15,745
"71",1986,962.9,681.15,793
"72",1987,1046.83144811116,844.45,949
"73",1988,930.65,689.4,788
"74",1989,726.231874871161,626.1,743
"75",1990,801,779.45,894
"76",1991,819.8,688.7,825
"77",1992,968.8,809.6,937
"78",1993,621.65,616.85,712
"79",1994,810.41652048694,770.9,885
"80",1995,697.404886987953,689.9,781
"81",1996,764.943278289414,667.45,774
"82",1997,790.874306256905,716.5,811
"83",1998,968.959858539636,831.7,946
"84",1999,761.511230181424,593.65,717
"85",2000,617.283556268615,598.8,711
"86",2001,833.588356162688,670.4,781
"87",2002,825.652720956946,715.2,829
"88",2003,951.012046794413,891,994
"89",2004,914.652438631912,793.3,953
"90",2005,774.254705087629,698.1,825
"91",2006,820.954897072452,823.85,934
"92",2007,802.90323562527,698.6,807
"93",2008,750.64368327947,671.45,807
"94",2009,874.416268628622,847.2,952
"95",2010,807.456111819728,629.6,748
"96",2011,596.698127206963,644.1,740
"97",2012,844.686357738972,733.15,883
"98",2013,911.119139999068,824.6,943
"99",2014,869.545077090881,930.35,1032
"100",2015,1097.35,1029,1138
"101",2016,829.4,746.65,899
"102",2017,1111.5,933.6,1038
"103",2018,933.911920914002,899.4,1004
"104",2019,743.65607009255,765.8,864
"105",2020,894.932151928996,843.55,951
"106",2021,990.362318535662,902.85,1031
"107",2022,1176.74853601234,1066.75,1127
"108",2023,1145.03817877232,965.85,1061
"109",2024,992.938725364965,837.9,966
"110",2025,647.023225711839,NA,NA
