"","Tag","Species(neighbor)","ba_sum","Stand","radius","Species","2008","avg_3","avg_5"
"1","H1","Abam",14.0410106440093,"AM16",3.555,"Abam",0.9405,1.098,1.3912
"2","H1","Cano",0.254469004940773,"AM16",3.555,"Abam",0.9405,1.098,1.3912
"3","H12","Abam",9.26933195626976,"AM16",3.455,"Abam",0.366,0.393166666666667,0.4334
"4","H12","Cano",13.2682181211344,"AM16",3.455,"Abam",0.366,0.393166666666667,0.4334
"5","H12","Tshe",0.31698669874721,"AM16",3.455,"Abam",0.366,0.393166666666667,0.4334
"6","H12","Tsme",0.113097335529233,"AM16",3.455,"Abam",0.366,0.393166666666667,0.4334
"7","H17","Abam",4.44933557351798,"AM16",2.51,"Abam",0.972,1.21566666666667,1.2681
"8","H17","Cano",9.44317198575615,"AM16",2.51,"Abam",0.972,1.21566666666667,1.2681
"9","H17","Tshe",25.1598453193372,"AM16",2.51,"Abam",0.972,1.21566666666667,1.2681
"10","H19","Abam",5.7264322571104,"AM16",2.855,"Abam",1.132,1.31833333333333,1.4047
"11","H19","Cano",16.0501219778331,"AM16",2.855,"Abam",1.132,1.31833333333333,1.4047
"12","H19","Tshe",8.72424206892702,"AM16",2.855,"Abam",1.132,1.31833333333333,1.4047
"13","H21","Abam",7.2057532598144,"AM16",2.99,"Abam",0.7235,0.761,0.8381
"14","H21","Cano",11.3139825569872,"AM16",2.99,"Abam",0.7235,0.761,0.8381
"15","H21","Tshe",16.0850250722144,"AM16",2.99,"Abam",0.7235,0.761,0.8381
"16","H25","Abam",6.30514503982818,"AM16",2.78,"Abam",0.556,0.608,0.6039
"17","H25","Tshe",18.0193115230113,"AM16",2.78,"Abam",0.556,0.608,0.6039
"18","H27","Abam",10.7481738660941,"AM16",3.02,"Abam",0.3055,0.3015,0.2983
"19","H27","Cano",11.6337731271778,"AM16",3.02,"Abam",0.3055,0.3015,0.2983
"20","H27","Tsme",8.95843994727051,"AM16",3.02,"Abam",0.3055,0.3015,0.2983
"21","H30","Abam",7.98415352557597,"AM16",4.01,"Abam",0.8935,1.01583333333333,0.9836
"22","H30","Cano",8.22468956709808,"AM16",4.01,"Abam",0.8935,1.01583333333333,0.9836
"23","H30","Tshe",4.29082651618111,"AM16",4.01,"Abam",0.8935,1.01583333333333,0.9836
"24","H30","Tsme",5.19943794345235,"AM16",4.01,"Abam",0.8935,1.01583333333333,0.9836
"25","H5","Abam",10.8695964221553,"AM16",3.365,"Abam",0.496,0.609166666666667,0.6391
"26","H5","Tshe",0.300713248801615,"AM16",3.365,"Abam",0.496,0.609166666666667,0.6391
"27","H5","Tsme",7.13305680581033,"AM16",3.365,"Abam",0.496,0.609166666666667,0.6391
"28","H9","Abam",3.19852616645447,"AM16",2.785,"Abam",0.124,0.138333333333333,0.1524
"29","H9","Cano",10.071922485464,"AM16",2.785,"Abam",0.124,0.138333333333333,0.1524
"30","H9","Tshe",19.5602155957073,"AM16",2.785,"Abam",0.124,0.138333333333333,0.1524
"31","H9","Tsme",1.79844398445565,"AM16",2.785,"Abam",0.124,0.138333333333333,0.1524
