tree,n_missing_total,n_missing_1980_on,n_outliers_total
SVAB743A_raw,173,34,1
SVAB743B_raw,164,34,1
SVAB744A_raw,177,34,0
SVAB744B_raw,178,34,0
SVAB745A_raw,59,34,3
SVAB745B_raw,75,34,1
SVAB747A_raw,221,34,0
SVAB747B_raw,180,34,0
SVAB751A_raw,146,33,1
SVAB751B_raw,150,33,2
SVAB754A_raw,153,33,1
SVAB754B_raw,133,33,2
SVAB755A_raw,189,33,1
SVAB755B_raw,163,33,0
SVAB756A_raw,125,33,0
SVAB756B_raw,134,33,0
SVAB759A_raw,142,33,1
SVAB759B_raw,73,33,0
SVAB762A_raw,246,33,0
SVAB762B_raw,218,40,0
SVAB763A_raw,33,33,3
SVAB763B_raw,185,33,1
SVAB764A_raw,72,33,0
SVAB764B_raw,68,33,0
SVAB766A_raw,226,33,0
SVAB766B_raw,202,33,0
SVAB768A_raw,90,33,0
SVAB772A_raw,86,33,1
SVAB772B_raw,133,33,2
SVAB775A_raw,142,33,0
SVAB775B_raw,114,33,2
SVAB778A_raw,195,33,0
SVAB778B_raw,172,33,1
SVAB780A_raw,149,33,0
SVAB780B_raw,198,33,2
SVAB783A_raw,124,33,0
SVAB783B_raw,131,33,1
