tree,n_missing_total,n_missing_1980_on,n_outliers_total
TCM02B_raw,1474,16,2
TCM09A_raw,1607,16,0
TCM13B_raw,1278,16,11
TCM03A_raw,1328,16,8
TCM13A_raw,1231,16,13
TCM08B_raw,1606,16,1
TCM05B_raw,1433,16,6
TCM19A_raw,1426,16,5
TCM20B_raw,1626,16,1
TCM10B_raw,1311,16,12
TCM12A_raw,1589,16,2
TCM01A_raw,1599,16,2
TCM08A_raw,1606,16,1
TCM15B_raw,1355,16,5
TCM06B_raw,1623,16,1
TCM11A_raw,1428,16,3
TCM10A_raw,1331,16,12
TCM09B_raw,1607,16,0
TCM04A_raw,1572,16,0
TCM14B_raw,1623,16,0
TCM07A_raw,1622,16,1
TCM20A_raw,1621,16,0
TCM02C_raw,1469,16,1
TCM04B_raw,1593,16,2
TCM06A_raw,1623,16,1
TCM18B_raw,1297,16,3
TCM17A_raw,1341,16,7
TCM07B_raw,1622,16,0
TCM02A_raw,1474,16,3
TCM11B_raw,1401,16,5
TCM01B_raw,1599,16,2
TCM05A_raw,1433,16,4
TCM15A_raw,1357,16,6
TCM17B_raw,1352,16,4
TCM14A_raw,1623,16,1
TCM12B_raw,1593,16,1
TCM18A_raw,1292,16,5
TCM19B_raw,1430,19,4
NVN372_raw,964,35,13
NVN371_raw,1135,35,4
NVN342_raw,1417,35,0
BND54B_raw,1321,35,5
BND50B_raw,1422,35,3
BND55A_raw,1262,35,11
NVN282_raw,1188,35,8
NVN352_raw,1035,35,9
NVN361_raw,1115,35,0
NVN362_raw,1211,35,2
NVN382_raw,1022,35,16
BND56B_raw,1267,35,9
BND57B_raw,1273,35,4
NVN381_raw,1009,35,12
BND39A_raw,1369,35,7
BCD622_raw,1261,35,4
BCD572_raw,1273,35,2
BND43B_raw,1307,35,9
BND58B_raw,1105,35,10
NVN281_raw,1198,35,9
BND42C_raw,1445,35,4
BND42A_raw,1300,35,9
BND40A_raw,1305,35,3
NVN301_raw,1200,35,5
BND39B_raw,1368,35,4
BND40B_raw,1306,35,2
BND41A_raw,1402,35,4
BND41B_raw,1338,35,3
BND47A_raw,1261,35,6
BND43A_raw,1205,35,9
NVN262_raw,1113,35,10
BND47B_raw,1276,35,5
BND49A_raw,1323,35,1
BND45B_raw,1245,35,9
BND53A_raw,1343,35,5
BND60B_raw,1255,35,8
NVN291_raw,1211,35,0
BND56A_raw,1273,35,6
