tree,n_missing_total,n_missing_1980_on,n_outliers_total
B82-2W_raw,120,43,1
B82-5N_raw,95,43,3
B8276W_raw,126,43,4
B8277E_raw,81,43,3
B8277N_raw,83,43,1
B82-81_raw,195,43,2
B82-86_raw,196,45,2
B8286S_raw,108,43,0
B8287W_raw,89,45,2
B8287E_raw,118,45,0
B8288W_raw,185,43,0
B8288S_raw,172,43,1
B8290E_raw,106,45,1
B8291N_raw,145,43,0
B8292E_raw,70,43,6
B8293W_raw,45,43,3
B8293N_raw,95,43,1
B8294E_raw,43,43,3
B8296E_raw,195,43,0
B8296N_raw,133,43,2
B8289N_raw,70,43,4
B8289W_raw,91,45,2
B8276S_raw,95,43,3
B8283E_raw,97,43,1
B8284N_raw,145,43,1
B8291S_raw,60,43,3
B8292N_raw,95,43,1
B8294S_raw,68,43,5
