tree,n_missing_total,n_missing_1980_on,n_outliers_total
ALK13A_raw,182,26,8
ALK13B_raw,26,26,11
ALK13C_raw,65,26,12
ANJ32A_raw,71,44,13
ANJ32B_raw,67,44,17
ANP18A_raw,103,44,12
ANP18C_raw,181,44,1
ANP18D_raw,87,44,10
ANJ05A_raw,146,44,4
ANJ05B_raw,172,44,5
ANJ06A_raw,239,44,5
ANJ14A_raw,112,44,7
ANJ14B_raw,174,45,1
ANJ42B_raw,188,44,0
ANP27A_raw,139,44,14
ANP41A_raw,181,44,15
ANP41B_raw,206,44,7
ANP43A_raw,142,44,2
ANP43B_raw,123,44,2
ALK07A_raw,140,26,15
ALK02A_raw,174,26,2
ALK02B_raw,143,26,6
ALK06A_raw,234,26,1
ALK06B_raw,191,26,9
ANP22B_raw,206,44,7
ANP22C_raw,169,44,6
ALU01A_raw,344,14,3
ALU02A_raw,343,14,0
ALU02B_raw,329,14,1
ALU03A_raw,327,14,8
ALU03B_raw,322,14,4
ALU04A_raw,314,14,6
ALU04B_raw,321,14,6
ALU05A_raw,315,14,6
ALU05B_raw,319,14,5
ALU06A_raw,298,14,1
ALU06B_raw,262,14,8
ALU07A_raw,424,14,2
ALU07B_raw,424,14,3
ALU08A_raw,368,14,0
ALU08B_raw,377,14,0
ALU10A_raw,306,14,3
ALU10B_raw,311,14,1
ALU11A_raw,350,14,0
ALU11B_raw,362,14,2
ALU12A_raw,347,14,1
ALU12B_raw,337,14,4
ALU13A_raw,354,14,3
ALU13B_raw,370,14,4
ALU14A_raw,68,14,4
ALU14B_raw,142,14,11
ALU15B_raw,214,14,2
ALU16A_raw,479,14,0
ALU16B_raw,388,14,0
ALU17A_raw,186,14,7
ALU17B_raw,216,14,0
ALU18A_raw,284,14,1
ALU18B_raw,408,14,0
ALU19A_raw,442,14,0
ALU19B_raw,411,14,1
ALU20A_raw,339,14,1
ALU20B_raw,329,14,6
ALU21A_raw,346,14,6
ALU21B_raw,335,14,6
ALU22A_raw,344,14,4
ALU22B_raw,338,14,4
ALU23A_raw,426,14,0
ALU23B_raw,492,14,0
ALU24A_raw,393,14,0
ALU24B_raw,352,14,2
