tree,n_missing_total,n_missing_1980_on,n_outliers_total
HG11A_raw,110,4,1
HG11B_raw,118,4,0
HG12A_raw,16,4,1
HG12B_raw,7,4,2
HG13A_raw,33,4,2
HG13B_raw,4,4,3
HG14A_raw,113,4,0
HG14B_raw,73,4,0
HG15A_raw,95,4,2
HG15B_raw,83,4,0
HG16A_raw,90,4,1
HG16B_raw,84,4,0
HG17A_raw,210,4,0
HG17B_raw,161,4,1
HG18A_raw,164,4,0
HG18B_raw,102,4,2
HG19A_raw,119,4,1
HG19B_raw,147,4,2
HG20A_raw,141,4,2
HG20B_raw,120,4,1
HG21A_raw,138,4,0
HG21B_raw,186,4,1
HG22A_raw,123,4,1
HG22B_raw,177,16,0
HG1A_raw,88,4,0
HG1B_raw,92,4,0
HG10A_raw,158,4,1
HG10B_raw,181,4,1
HG2A_raw,121,4,2
HG2B_raw,113,4,2
HG3A_raw,102,4,2
HG3B_raw,102,4,0
HG4A_raw,45,4,3
HG4B_raw,112,4,1
HG5A_raw,79,4,2
HG5B_raw,81,4,1
HG6A_raw,95,4,1
HG6B_raw,88,4,5
HG7A_raw,127,4,2
HG7B_raw,174,4,0
HG8A_raw,139,4,2
HG8B_raw,121,4,0
HG9A_raw,120,22,1
HG9B_raw,87,10,4
