tree,n_missing_total,n_missing_1980_on,n_outliers_total
JAC01A_raw,587,40,2
JAC01B_raw,706,40,2
JAC01C_raw,376,40,6
JAC03A_raw,551,40,4
JAC03B_raw,486,40,1
JAC03Y_raw,588,45,1
JAC05B_raw,350,40,10
JAC05C_raw,450,40,1
JAC05D_raw,332,40,4
JAC08B_raw,631,40,5
JAC09A_raw,657,40,3
JAC09C_raw,799,40,4
JAC10B_raw,662,40,4
JAC10D_raw,748,40,0
JAC15A_raw,708,40,5
JAC20A_raw,565,40,3
JAC20C_raw,918,45,2
JAC26C_raw,497,40,3
JAC26D_raw,483,40,8
JAC27C_raw,577,45,2
JAC27Y_raw,578,45,0
JAC30X_raw,568,45,7
JAC33A_raw,716,40,2
JAC33C_raw,727,43,1
JAC34B_raw,795,40,4
JAC35A_raw,560,40,4
JAC35B_raw,636,40,4
JAC38C_raw,821,40,1
JAC40A_raw,641,40,4
JAC40B_raw,732,40,2
JAC51A_raw,82,45,10
JAC51B_raw,869,45,0
JAC51C1_raw,786,45,2
JAC51E_raw,834,45,4
JAC52A_raw,314,45,16
JAC52B_raw,576,45,1
JAC53A_raw,768,45,2
JAC53B_raw,485,45,7
JAC53C_raw,464,45,3
JAC53E_raw,202,45,11
JAC54A_raw,395,26,7
JAC54B_raw,750,26,0
JAC54C_raw,695,45,1
JAC55A1_raw,872,45,1
JAC55B1_raw,857,45,0
JAC55B3_raw,782,26,1
JAC56A2_raw,710,26,4
JAC57A_raw,374,45,2
JAC58B_raw,507,26,9
JAC59A_raw,557,45,5
JAC60A_raw,732,45,1
JAC61A_raw,687,45,0
JAC61B_raw,652,26,5
JAC61C_raw,618,26,6
JAC62A_raw,691,26,4
JAC62B_raw,703,26,7
JAC62C_raw,698,26,6
JAC63A_raw,693,26,3
JAC63B_raw,624,26,3
JAC63C_raw,694,26,3
JAC65A_raw,880,26,2
JAC65B_raw,795,26,2
