tree,n_missing_total,n_missing_1980_on,n_outliers_total
748011_raw,187,41,5
748012_raw,215,41,3
748021_raw,172,41,5
748022_raw,167,41,8
748031_raw,164,41,7
748032_raw,156,41,4
748041_raw,197,41,3
748042_raw,177,41,4
748051_raw,41,41,8
748052_raw,132,41,5
748061_raw,160,41,5
748062_raw,188,41,5
748071_raw,180,41,3
748072_raw,217,41,0
748081_raw,124,42,4
748082_raw,95,41,6
748091_raw,43,41,7
748092_raw,69,41,4
748101_raw,160,41,1
748102_raw,145,41,5
748111_raw,197,41,6
748112_raw,143,41,3
748121_raw,279,41,5
748122_raw,164,45,5
748132_raw,145,41,1
748141_raw,230,41,1
748142_raw,181,41,6
