tree,n_missing_total,n_missing_1980_on,n_outliers_total
MR1A_raw,77,10,0
MR1B_raw,79,12,0
MR10A_raw,68,4,0
MR10B_raw,61,4,0
MR11A_raw,13,6,2
MR11B_raw,31,6,0
MR12A_raw,71,9,1
MR12B_raw,66,9,0
MR13A_raw,78,11,0
MR13B_raw,19,4,0
MR14A_raw,53,7,0
MR14B_raw,71,7,0
MR15A_raw,28,4,0
MR15B_raw,61,4,0
MR16A_raw,72,5,0
MR16B_raw,38,4,0
MR17A_raw,10,4,0
MR17B_raw,9,4,1
MR18A_raw,51,4,0
MR18B_raw,40,4,0
MR2B_raw,56,8,0
MR20A_raw,4,4,2
MR20B_raw,23,4,1
MR21A_raw,62,4,0
MR21B_raw,54,4,0
MR22A_raw,40,4,0
MR22B_raw,54,4,1
MR23A_raw,46,14,0
MR23B_raw,57,7,0
MR24A_raw,82,15,0
MR24B_raw,47,4,0
MR25A_raw,79,12,0
MR25B_raw,79,12,0
MR27A_raw,58,4,1
MR27B_raw,56,5,1
MR28A_raw,50,4,1
MR28B_raw,5,4,0
MR29A_raw,61,4,0
MR29B_raw,60,4,1
MR3A_raw,66,4,0
MR3B_raw,68,4,0
MR30A_raw,69,5,0
MR4A_raw,54,9,0
MR4B_raw,47,6,1
MR5A_raw,72,6,0
MR6A_raw,37,6,0
MR6B_raw,43,6,0
MR7A_raw,71,4,1
MR7B_raw,70,4,0
MR8A_raw,24,4,0
MR8B_raw,48,4,0
MR9A_raw,74,7,0
MR9B_raw,65,4,1
