age_CE,UTP0901A_raw,UTP0901C_raw,UTP0903B_raw,UTP0903C_raw,UTP0904B_raw,UTP0904C_raw,UTP0905A_raw,UTP0905C_raw,UTP0906A_raw,UTP0906B_raw,UTP0907A_raw,UTP0907B_raw,UTP0908A_raw,UTP0909A_raw,UTP0909B_raw,UTP0910A_raw,UTP0910B_raw,UTP0911A_raw,UTP0911B_raw,UTP0912A_raw,UTP0912B_raw,UTP0913A_raw,UTP0913B_raw,UTP0914A_raw,UTP0914B_raw,UTP0915B_raw,UTP0901A_raw_outlier_flag,UTP0901C_raw_outlier_flag,UTP0903B_raw_outlier_flag,UTP0903C_raw_outlier_flag,UTP0904B_raw_outlier_flag,UTP0904C_raw_outlier_flag,UTP0905A_raw_outlier_flag,UTP0905C_raw_outlier_flag,UTP0906A_raw_outlier_flag,UTP0906B_raw_outlier_flag,UTP0907A_raw_outlier_flag,UTP0907B_raw_outlier_flag,UTP0908A_raw_outlier_flag,UTP0909A_raw_outlier_flag,UTP0909B_raw_outlier_flag,UTP0910A_raw_outlier_flag,UTP0910B_raw_outlier_flag,UTP0911A_raw_outlier_flag,UTP0911B_raw_outlier_flag,UTP0912A_raw_outlier_flag,UTP0912B_raw_outlier_flag,UTP0913A_raw_outlier_flag,UTP0913B_raw_outlier_flag,UTP0914A_raw_outlier_flag,UTP0914B_raw_outlier_flag,UTP0915B_raw_outlier_flag
1890,0.737,0.835,NA,NA,0.369,NA,0.553,0.484,0.204,0.257,NA,NA,NA,NA,NA,NA,NA,0.079,NA,0.63,0.528,0.494,0.462,NA,1.029,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1891,1.393,1.477,NA,NA,0.562,NA,0.574,0.5,0.229,0.255,NA,NA,NA,NA,NA,NA,NA,0.159,NA,0.872,0.607,0.659,0.53,1.32,0.97,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1892,1.159,1.23,NA,NA,0.444,NA,0.6,0.57,0.228,0.285,NA,NA,NA,NA,NA,NA,NA,0.187,NA,0.789,0.556,0.583,0.497,1.145,0.852,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1893,0.661,0.952,NA,NA,0.163,NA,0.444,0.479,0.275,0.089,NA,NA,NA,NA,NA,NA,NA,0.156,NA,0.32,0.168,0.224,0.307,0.689,0.465,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1894,0.716,0.744,NA,NA,0.247,NA,0.504,0.579,0.091,0.193,NA,NA,NA,NA,NA,NA,NA,0.207,NA,0.471,0.328,0.353,0.361,1.037,0.692,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1895,0.831,0.834,NA,NA,0.189,NA,0.456,0.575,0.205,0.195,NA,NA,NA,NA,NA,NA,NA,0.236,NA,0.452,0.369,0.292,0.328,0.902,0.72,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1896,0.561,0.632,NA,NA,0.177,NA,0.383,0.28,0.17,0.06,NA,NA,NA,NA,NA,NA,NA,0.212,NA,0.301,0.21,0.153,0.223,0.6,0.433,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1897,1.12,1.104,NA,NA,0.462,NA,0.657,0.509,0.317,0.324,NA,NA,NA,NA,NA,NA,NA,0.265,NA,0.593,0.554,0.437,0.42,0.958,0.932,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1898,1.342,1.518,NA,NA,0.448,NA,0.677,0.498,0.325,0.388,NA,NA,NA,NA,NA,NA,NA,0.283,NA,0.625,0.694,0.446,0.379,1.017,1.215,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1899,0.442,0.529,NA,NA,0.057,NA,0.209,0.148,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.001,0.171,0.203,0.418,0.343,NA,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
