tree,n_missing_total,n_missing_1980_on,n_outliers_total
BCE-01A_raw,37,26,1
BCE-01B_raw,32,25,3
BCE-02A_raw,39,25,0
BCE-02B_raw,33,25,0
BCE-03A_raw,36,25,1
BCE-03B_raw,39,25,0
BCE-04A_raw,40,25,1
BCE-04B_raw,41,25,1
BCE-05A_raw,33,25,1
BCE-05B_raw,36,25,2
BCE-06A_raw,48,25,2
BCE-06B_raw,45,25,2
BCE-07A_raw,41,25,2
BCE-07B_raw,35,25,1
BCE-08A_raw,42,25,2
BCE-08B_raw,27,25,2
BCE-09A_raw,35,25,1
BCE-09B_raw,45,25,1
BCE-10A_raw,47,25,1
BCE-10B_raw,42,25,2
BCE-11A_raw,38,25,2
BCE-11B_raw,25,25,1
BCE-12A_raw,36,25,2
BCE-12B_raw,38,25,3
BCE-13A_raw,53,26,1
BCE-13B_raw,96,45,1
BCE-14A_raw,35,25,1
BCE-14B_raw,43,25,2
BCE-15A_raw,34,25,2
BCE-15B_raw,36,25,2
BCE-16A_raw,37,25,1
BCE-16B_raw,32,25,1
BCE-17A_raw,48,25,2
BCE-17B_raw,46,25,2
BCE-18A_raw,35,25,1
BCE-18B_raw,40,25,2
BCE-19A_raw,36,25,2
BCE-19B_raw,41,25,2
