tree,n_missing_total,n_missing_1980_on,n_outliers_total
HPPC093A_raw,283,34,0
HPPC093B_raw,272,34,0
HPPC094A_raw,276,34,1
HPPC095A_raw,69,34,0
HPPC095B_raw,117,34,2
HPPC097A_raw,152,34,0
HPPC097B_raw,169,34,1
HPPC098A_raw,246,33,1
HPPC098B_raw,205,33,0
HPPC423A_raw,53,34,1
HPPC423B_raw,34,34,0
HPPC426A_raw,227,34,1
HPPC427A_raw,367,33,0
HPPC427B_raw,333,33,0
HPPC672A_raw,312,34,0
HPPC672B_raw,358,34,0
HPPC674A_raw,119,45,1
HPPC674B_raw,102,34,2
HPPC675A_raw,281,34,0
HPPC675B_raw,274,34,0
HPPC676A_raw,303,34,0
HPPC676B_raw,267,34,0
HPPC699A_raw,327,34,0
HPPC699B_raw,322,34,1
HPPC864A_raw,281,34,1
HPPC864B_raw,261,34,2
HPPC865A_raw,108,34,2
HPPC865B_raw,44,34,1
HPPC866A_raw,198,34,1
HPPC866B_raw,223,34,0
HPPC867A_raw,233,34,4
HPPC867B_raw,222,34,0
HPPC881A_raw,222,34,0
HPPC881B_raw,207,34,0
HPPC890A_raw,214,34,0
HPPC890B_raw,162,34,0
HPPC892A_raw,211,34,1
HPPC892B_raw,211,34,0
