tree,n_missing_total,n_missing_1980_on,n_outliers_total
712011_raw,154,41,1
712012_raw,113,41,0
712021_raw,167,41,0
712022_raw,181,41,0
712031_raw,107,41,0
712032_raw,171,41,0
712041_raw,65,41,0
712042_raw,116,41,1
712051_raw,104,41,1
712052_raw,167,45,1
712061_raw,140,41,0
712062_raw,120,41,1
712071_raw,226,41,2
712072_raw,232,41,1
712081_raw,204,41,1
712082_raw,207,41,1
712091_raw,153,41,0
712092_raw,58,41,3
712101_raw,45,41,0
712102_raw,49,41,0
712111_raw,91,41,2
712121_raw,73,41,0
712122_raw,41,41,4
