tree,n_missing_total,n_missing_1980_on,n_outliers_total
211091_raw,61,45,4
211092_raw,64,45,2
211101_raw,57,45,6
211102_raw,54,45,5
211111_raw,56,45,3
211112_raw,51,45,3
211121_raw,71,45,2
211122_raw,66,45,3
211131_raw,54,45,4
211132_raw,55,45,3
211141_raw,52,45,6
211142_raw,54,45,4
211151_raw,54,45,4
211152_raw,56,45,4
211161_raw,56,45,3
211162_raw,53,45,4
211171_raw,64,45,3
211172_raw,61,45,5
211181_raw,65,45,2
211182_raw,56,45,6
211191_raw,57,45,1
211192_raw,49,45,4
211201_raw,54,45,2
211202_raw,57,45,5
