age_CE,LSA01A_raw,LSA01B_raw,LSA01C_raw,LSA01A_raw_outlier_flag,LSA01B_raw_outlier_flag,LSA01C_raw_outlier_flag
692,NA,1.13,NA,NA,FALSE,NA
693,NA,0.94,NA,NA,FALSE,NA
694,NA,1.22,1.27,NA,FALSE,FALSE
695,NA,1.34,1.29,NA,FALSE,FALSE
696,NA,1.48,1.42,NA,FALSE,FALSE
697,NA,1.39,1.39,NA,FALSE,FALSE
698,1.37,1.19,1.22,FALSE,FALSE,FALSE
699,1.11,1.01,0.93,FALSE,FALSE,FALSE
700,1.26,1.26,1.27,FALSE,FALSE,FALSE
701,1.13,1.23,1.09,FALSE,FALSE,FALSE
702,1.16,1.11,1.1,FALSE,FALSE,FALSE
703,1.58,1.34,1.56,TRUE,FALSE,FALSE
704,1.8,1.45,1.8,TRUE,FALSE,TRUE
705,1.73,1.35,1.75,TRUE,FALSE,TRUE
706,1.7,1.48,1.69,TRUE,FALSE,TRUE
707,1.5,1.39,1.42,FALSE,FALSE,FALSE
708,1.4,1.41,1.31,FALSE,FALSE,FALSE
709,1.32,1.34,1.24,FALSE,FALSE,FALSE
710,1.32,1.26,1.3,FALSE,FALSE,FALSE
711,1.42,1.4,1.38,FALSE,FALSE,FALSE
712,1.48,1.47,1.42,FALSE,FALSE,FALSE
713,1.46,1.29,1.33,FALSE,FALSE,FALSE
714,1.2,1.41,1.5,FALSE,FALSE,FALSE
715,1.3,1.42,1.35,FALSE,FALSE,FALSE
716,1.25,1.42,1.24,FALSE,FALSE,FALSE
717,1.16,1.21,1.17,FALSE,FALSE,FALSE
718,0.69,0.69,0.71,FALSE,FALSE,FALSE
719,0.74,0.68,0.76,FALSE,FALSE,FALSE
720,0.69,0.62,0.92,FALSE,FALSE,FALSE
721,0.61,0.53,0.65,FALSE,FALSE,FALSE
722,0.64,0.69,0.65,FALSE,FALSE,FALSE
723,0.7,0.67,0.67,FALSE,FALSE,FALSE
724,0.57,0.57,0.59,FALSE,FALSE,FALSE
725,0.83,0.77,0.78,FALSE,FALSE,FALSE
726,0.72,0.59,0.69,FALSE,FALSE,FALSE
727,0.68,0.6,0.72,FALSE,FALSE,FALSE
728,0.58,0.52,0.61,FALSE,FALSE,FALSE
729,0.56,0.52,0.53,FALSE,FALSE,FALSE
730,0.69,0.61,0.7,FALSE,FALSE,FALSE
731,0.69,0.62,0.71,FALSE,FALSE,FALSE
732,0.6,0.58,0.57,FALSE,FALSE,FALSE
733,0.63,0.54,0.67,FALSE,FALSE,FALSE
734,0.59,0.44,0.58,FALSE,FALSE,FALSE
735,0.55,0.51,0.59,FALSE,FALSE,FALSE
736,0.53,0.5,0.54,FALSE,FALSE,FALSE
737,0.41,0.4,0.42,FALSE,FALSE,FALSE
738,0.45,0.42,0.43,FALSE,FALSE,FALSE
739,0.55,0.54,0.61,FALSE,FALSE,FALSE
740,0.47,0.43,0.47,FALSE,FALSE,FALSE
741,0.47,0.4,0.45,FALSE,FALSE,FALSE
742,0.5,0.43,0.53,FALSE,FALSE,FALSE
743,0.48,0.46,0.51,FALSE,FALSE,FALSE
744,0.57,0.55,0.55,FALSE,FALSE,FALSE
745,0.69,0.63,0.68,FALSE,FALSE,FALSE
746,0.65,0.56,0.63,FALSE,FALSE,FALSE
747,0.63,0.57,0.68,FALSE,FALSE,FALSE
748,0.72,0.72,0.74,FALSE,FALSE,FALSE
749,0.74,0.73,0.69,FALSE,FALSE,FALSE
750,0.75,0.74,0.69,FALSE,FALSE,FALSE
751,0.65,0.76,0.61,FALSE,FALSE,FALSE
752,0.57,0.58,0.57,FALSE,FALSE,FALSE
753,0.73,0.62,0.69,FALSE,FALSE,FALSE
754,0.9,0.77,0.8,FALSE,FALSE,FALSE
755,0.62,0.69,0.63,FALSE,FALSE,FALSE
756,0.83,0.79,0.81,FALSE,FALSE,FALSE
757,0.94,1.03,0.98,FALSE,FALSE,FALSE
758,0.82,0.81,0.8,FALSE,FALSE,FALSE
