tree,n_missing_total,n_missing_1980_on,n_outliers_total
GRD011_raw,124,45,2
GRD012_raw,150,45,4
GRD013_raw,243,34,1
GRD021_raw,48,34,4
GRD022_raw,158,45,1
GRD023_raw,131,34,5
GRD031_raw,115,34,1
GRD032_raw,71,34,0
GRD041_raw,235,45,1
GRD042_raw,133,34,1
GRD043_raw,35,34,3
GRD051_raw,113,34,0
GRD052_raw,101,34,0
GRD053_raw,96,34,0
GRD071_raw,240,34,1
GRD072_raw,174,34,1
GRD091_raw,194,34,0
GRD092_raw,195,34,0
GRD101_raw,199,45,0
GRD102_raw,255,45,0
GRD141_raw,220,34,1
GRD142_raw,236,34,0
GRD151_raw,241,34,0
GRD152_raw,239,34,2
GRD161_raw,74,34,5
GRD162_raw,82,34,6
