age_CE,MTL054A_raw,MTL054AW_raw,MTL054B_raw,MTL054BE_raw,MTL195A_raw,MTL195B_raw,MTL195C_raw,MTL195D_raw,MTL195E_raw,MTL195F_raw,MTL197A_raw,MTL197B_raw,MTL197C_raw,MTL197D_raw,MTL197E_raw,MTL197F_raw,MTL249A_raw,MTL249B_raw,MTL250C_raw,MTL250D_raw,MTL250E_raw,MTL275A_raw,MTL275B_raw,MTL253A_raw,MTL253B_raw,MTL054A_raw_outlier_flag,MTL054AW_raw_outlier_flag,MTL054B_raw_outlier_flag,MTL054BE_raw_outlier_flag,MTL195A_raw_outlier_flag,MTL195B_raw_outlier_flag,MTL195C_raw_outlier_flag,MTL195D_raw_outlier_flag,MTL195E_raw_outlier_flag,MTL195F_raw_outlier_flag,MTL197A_raw_outlier_flag,MTL197B_raw_outlier_flag,MTL197C_raw_outlier_flag,MTL197D_raw_outlier_flag,MTL197E_raw_outlier_flag,MTL197F_raw_outlier_flag,MTL249A_raw_outlier_flag,MTL249B_raw_outlier_flag,MTL250C_raw_outlier_flag,MTL250D_raw_outlier_flag,MTL250E_raw_outlier_flag,MTL275A_raw_outlier_flag,MTL275B_raw_outlier_flag,MTL253A_raw_outlier_flag,MTL253B_raw_outlier_flag
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1908,1.67,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,1.54,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1909,1.5,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1.48,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1910,1.37,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.4,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1911,1.43,NA,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,1.65,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1912,2.41,1.23,2.01,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,1.66,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1913,2.52,1.4,2.69,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,1.64,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1914,2.64,1.82,2.72,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,1.49,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1915,2.64,1.4,2.5,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,1.17,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1916,3.12,1.35,2.9,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.98,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1917,3.07,1.61,2.9,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21,1.87,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1918,1.92,0.98,2.12,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,1.29,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1919,2.54,1.19,2.48,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1.14,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1920,2.19,1.11,2.4,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,2.51,NA,NA,NA,0.67,0.79,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1921,1.65,0.81,1.73,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,1.71,NA,NA,NA,0.59,0.8,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1922,2.37,1.26,2.02,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2.2,NA,NA,NA,0.7,0.74,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1923,1.72,0.75,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26,3.08,NA,NA,NA,0.68,0.91,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1924,2.18,0.93,1.81,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58,3.04,NA,NA,NA,0.83,0.73,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1925,1.57,0.91,1.33,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,1.52,NA,NA,NA,0.35,0.64,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1926,2.75,1.12,2.25,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,2.24,NA,NA,NA,1.22,1.2,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1927,1.88,1.11,2.1,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19,2.95,NA,NA,NA,1.29,1.19,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
1928,2.07,1.09,2.29,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,2.77,NA,NA,NA,1.48,1.2,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA
