tree,n_missing_total,n_missing_1980_on,n_outliers_total
01A409a_raw,85,23,0
01A410a_raw,80,24,2
01A410b_raw,62,24,2
01A412b_raw,142,24,0
01A413a_raw,90,24,0
01A414a_raw,38,27,0
01A414b_raw,24,24,2
01A415a_raw,92,24,3
01A416a_raw,101,24,3
01A417a_raw,77,24,0
01A417b_raw,82,24,0
01A418b_raw,77,24,3
01A419a_raw,75,24,1
01A419b_raw,100,24,1
01A420a_raw,68,24,1
01A420b_raw,79,24,0
01A422a_raw,96,24,1
01A422b_raw,159,24,1
01A423a_raw,122,25,1
01A423b_raw,143,24,1
01A424a_raw,45,24,1
01A425a_raw,64,24,0
01A425b_raw,25,24,1
01A426a_raw,136,24,0
01A426b_raw,87,24,1
