tree,n_missing_total,n_missing_1980_on,n_outliers_total
EIC01A_raw,34,34,0
EIC01B_raw,34,34,1
EIC02A_raw,34,34,0
EIC02B_raw,34,34,1
EIC03A_raw,34,34,1
EIC03B_raw,34,34,3
EIC04A_raw,34,34,0
EIC04B_raw,34,34,1
EIC05A_raw,34,34,1
EIC05B_raw,34,34,0
EIC06A_raw,34,34,1
EIC06B_raw,34,34,1
EIC07B_raw,34,34,1
EIC09A_raw,34,34,0
EIC09B_raw,34,34,2
EIC10A_raw,34,34,4
EIC10B_raw,34,34,3
EIC11A_raw,34,34,2
EIC11B_raw,34,34,1
EIC12A_raw,34,34,2
EIC12B_raw,34,34,1
EIC13A_raw,34,34,1
EIC13B_raw,37,37,2
EIC14A_raw,34,34,0
EIC14B_raw,34,34,1
EIC15A_raw,34,34,0
EIC15B_raw,34,34,0
EIC16A_raw,34,34,1
EIC16B_raw,34,34,0
EIC17A_raw,37,37,1
EIC17B_raw,34,34,3
EIC18A_raw,34,34,3
EIC18B_raw,34,34,1
EIC20A_raw,35,35,0
EIC20B_raw,34,34,1
