age_CE,OPP01A_raw,OPP01B_raw,OPP02B_raw,OPP03A_raw,OPP03B_raw,OPP04A_raw,OPP04B_raw,OPP05A_raw,OPP05B_raw,OPP06A_raw,OPP06B_raw,OPP07A_raw,OPP07B_raw,OPP08A_raw,OPP08B_raw,OPP09A_raw,OPP09B_raw,OPP10A_raw,OPP10B_raw,OPP12A_raw,OPP12B_raw,OPP14A_raw,OPP14B_raw,OPP15A_raw,OPP15B_raw,OPP16A_raw,OPP16B_raw,OPP17A_raw,OPP17B_raw,OPP18A_raw,OPP18B_raw,OPP19A_raw,OPP19B_raw,OPP20A_raw,OPP20B_raw,OPP01A_raw_outlier_flag,OPP01B_raw_outlier_flag,OPP02B_raw_outlier_flag,OPP03A_raw_outlier_flag,OPP03B_raw_outlier_flag,OPP04A_raw_outlier_flag,OPP04B_raw_outlier_flag,OPP05A_raw_outlier_flag,OPP05B_raw_outlier_flag,OPP06A_raw_outlier_flag,OPP06B_raw_outlier_flag,OPP07A_raw_outlier_flag,OPP07B_raw_outlier_flag,OPP08A_raw_outlier_flag,OPP08B_raw_outlier_flag,OPP09A_raw_outlier_flag,OPP09B_raw_outlier_flag,OPP10A_raw_outlier_flag,OPP10B_raw_outlier_flag,OPP12A_raw_outlier_flag,OPP12B_raw_outlier_flag,OPP14A_raw_outlier_flag,OPP14B_raw_outlier_flag,OPP15A_raw_outlier_flag,OPP15B_raw_outlier_flag,OPP16A_raw_outlier_flag,OPP16B_raw_outlier_flag,OPP17A_raw_outlier_flag,OPP17B_raw_outlier_flag,OPP18A_raw_outlier_flag,OPP18B_raw_outlier_flag,OPP19A_raw_outlier_flag,OPP19B_raw_outlier_flag,OPP20A_raw_outlier_flag,OPP20B_raw_outlier_flag
1880,1.15,0.63,1.71,1.85,1.83,1.51,1.73,1.65,1.56,1.04,1.43,1.83,1.93,3.4,3.33,0.7,1.18,0.58,0.78,0.8,0.71,NA,NA,1.61,1.68,1.97,2.8,NA,2.32,2.51,3.35,2.39,2.78,1.63,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1881,1.2,0.73,1.99,1.76,2.1,1.55,1.43,1.83,1.4,1.72,2.02,1.87,2.31,2.83,3.27,0.8,1.01,0.43,0.51,0.76,0.48,NA,NA,1.52,1.69,1.96,3.06,NA,2.7,3.9,3.11,2.97,2.46,1.77,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1882,0.88,0.42,1.9,1.58,1.63,0.86,1.06,0.79,1.06,1.71,1.88,1.99,2.44,2.55,3.09,0.69,1.03,0.33,0.57,0.58,0.53,NA,NA,1.5,1.36,1.12,1.94,NA,2.14,1.98,2.93,2.59,2.77,1.14,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1883,1.48,0.93,2.07,1.29,1.69,1.1,1.14,1.76,1.51,1.34,2.28,2.84,4.07,2.61,3.75,0.62,0.93,0.51,1.03,0.66,0.78,NA,NA,1.68,1.51,1.52,2.02,NA,3.3,2.8,2.06,1.99,2.36,1.23,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1884,1.53,1.01,1.94,1.51,1.63,1.38,1.42,1.63,1.43,1.11,1.35,2.39,3.28,2.59,3.45,0.89,0.87,0.41,0.8,0.7,0.83,NA,NA,1.76,1.42,1.42,2.29,NA,2.89,2.45,2.8,2.44,3.11,1.45,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1885,1.61,1.18,3.34,1.95,2.12,2.07,1.69,1.84,1.93,1.51,2.58,3.36,4.31,3.33,5.54,1.02,1.2,0.56,0.94,1,1.18,NA,NA,1.34,2.11,1.83,2.72,2.77,3.38,4.57,4.5,1.97,2.69,2.15,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1886,0.73,0.46,1.75,0.94,1.14,1.52,1.92,1.4,1.13,1.08,1.43,2.75,3.13,2.28,4.26,0.85,1.07,0.6,0.4,0.76,1.07,NA,NA,1.22,1.4,1.24,1.94,2.34,3.03,2.65,2.84,1.79,2.26,1.98,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1887,0.78,0.35,1.85,1.3,1.19,1.49,1.69,2.25,1.11,1.28,1.68,2.52,3.09,3.05,3.82,0.9,1.02,0.49,0.65,0.49,0.64,NA,NA,1.31,1.57,1.21,1.64,2.55,2.64,2.68,3.32,2.13,2.44,1.91,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1888,0.4,0.51,1.53,1.49,1.36,1.6,1.47,2.29,1.27,1.18,1.01,1.79,1.87,1.75,3.55,0.63,1.35,0.41,0.73,0.81,1.2,NA,NA,1.24,1.36,0.85,1.37,2,2.26,2.77,2.05,1.37,2.14,1.08,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1889,0.62,1.04,2.8,1.33,1.62,2,1.87,2.78,1.45,1.58,1.07,2.55,2.56,2.32,4.03,0.45,1.1,0.49,0.64,0.7,0.97,NA,NA,1.66,1.72,1.08,1.84,2.43,2.04,2.42,3.05,1.72,2.18,1.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
