tree,n_missing_total,n_missing_1980_on,n_outliers_total
681011_raw,65,41,2
681012_raw,88,41,7
681021_raw,185,41,3
681022_raw,127,41,3
681031_raw,115,41,1
681032_raw,97,41,4
681051_raw,60,42,7
681052_raw,55,41,7
681061_raw,67,41,2
681062_raw,93,41,2
681071_raw,111,45,2
681072_raw,125,41,4
681081_raw,190,41,3
681082_raw,162,41,3
681091_raw,153,41,3
681092_raw,148,41,6
681111_raw,62,42,6
681112_raw,72,41,6
681121_raw,44,41,5
681122_raw,41,41,7
681131_raw,76,41,4
681132_raw,81,41,6
