tree,n_missing_total,n_missing_1980_on,n_outliers_total
202503_raw,77,20,12
213506_raw,38,19,17
215306_raw,75,19,9
216304_raw,62,19,12
222505_raw,19,19,13
223307_raw,106,19,8
224308_raw,41,19,0
226505_raw,139,19,9
226507_raw,124,19,10
226508_raw,134,19,18
227101_raw,153,19,7
228305_raw,67,19,9
228402_raw,77,19,8
229506_raw,78,19,14
230302_raw,101,19,9
232105_raw,137,19,4
232205_raw,140,19,5
232305_raw,152,19,4
232401_raw,127,19,8
232407_raw,122,19,11
232501_raw,117,19,9
233103_raw,121,19,16
233104_raw,131,19,12
233403_raw,150,19,12
233407_raw,111,19,4
234104_raw,119,18,3
240507_raw,102,18,4
241104_raw,72,18,6
241401_raw,67,18,15
242104_raw,55,18,9
243206_raw,98,18,17
243301_raw,76,18,14
245403_raw,97,18,19
245405_raw,101,18,12
247406_raw,115,18,7
251306_raw,161,18,8
252308_raw,87,18,10
253307_raw,105,18,4
