tree,n_missing_total,n_missing_1980_on,n_outliers_total
RCB010A_raw,2254,12,5
RCB010B_raw,2166,12,1
RCB012A_raw,1879,12,3
RCB012B_raw,1940,11,12
RCB018A_raw,2201,45,6
RCB018B_raw,2202,11,7
RCB022A_raw,2243,45,1
RCB022B_raw,2212,11,8
RCB025A_raw,2163,45,6
RCB025B_raw,2090,12,2
RCB026A_raw,1985,12,7
RCB026B_raw,2094,12,7
RCB044A_raw,2137,11,3
RCB044B_raw,2223,12,1
RCB044C_raw,2223,12,3
RCB045B_raw,2187,45,1
RCB046A_raw,2165,11,1
RCB051A_raw,2036,12,3
RCB051B_raw,2183,12,1
RCB053A_raw,2213,12,4
RCB059A_raw,2218,45,3
RCB059B_raw,2015,45,7
RCB071A_raw,2191,11,1
RCB071B_raw,2187,11,4
RCB072A_raw,2090,11,4
RCB072B_raw,2198,12,8
RCB073A_raw,1517,17,0
RCB073B_raw,1828,45,16
RCB074A_raw,2241,11,2
RCB074B_raw,1845,11,0
RCB075A_raw,1524,11,3
RCB075B_raw,1535,11,2
RCB077A_raw,1822,45,5
RCB083A_raw,2146,12,1
RCB083B_raw,2135,12,5
RCB100A_raw,1838,45,13
RCB100B_raw,1834,45,12
RCB101A_raw,1905,10,4
RCB101B_raw,1634,10,9
RCB102A_raw,2109,10,0
RCB102B_raw,2105,10,3
RCB103A_raw,1364,10,7
RCB103B_raw,843,10,25
RCB103C_raw,1532,10,8
RCB104B_raw,1602,10,15
RCB105A_raw,1703,12,3
RCB105B_raw,1727,10,1
RCB106A_raw,1619,10,5
RCB106B_raw,1718,10,9
RCB106C_raw,1721,10,2
RCB107A_raw,1623,10,11
RCB107B_raw,652,10,38
RCB108A_raw,1631,10,6
RCB108B_raw,1553,45,1
RCB109A_raw,1647,10,3
RCB109B_raw,1698,10,4
RCB111A_raw,1313,10,11
RCB111B_raw,1434,10,6
RCB112A_raw,670,10,9
RCB112B_raw,740,10,10
RCB118B_raw,2248,45,3
RCB119A_raw,1576,45,17
RCB119B_raw,2237,45,0
RCB122A_raw,2128,45,6
RCB123A_raw,1300,45,5
RCB123B_raw,1535,45,8
RCB124A_raw,1623,45,11
RCB124B_raw,1689,45,3
RCB125A_raw,1435,45,19
RCB125B_raw,1614,45,14
RCB128A_raw,2174,45,1
RCB130A_raw,1942,45,7
RCB130B_raw,2251,45,2
RCB132A_raw,2195,45,4
RCB132B_raw,2270,45,2
RCB133A_raw,2277,45,4
RCB134A_raw,1989,45,12
RCB134B_raw,2111,45,7
RCB136A_raw,2248,45,1
RCB176_raw,2102,45,4
RCB178A_raw,1960,45,9
RCB178B_raw,2028,45,6
RCB182A_raw,2113,10,5
RCB182C_raw,2134,10,5
RCB183A_raw,1298,10,17
RCB184A_raw,2131,45,3
RCB184B_raw,1743,10,1
RCB185A_raw,1968,10,1
RCB185B_raw,1774,45,7
RCB187A_raw,1746,10,22
RCB187B_raw,1655,10,2
RCB188A_raw,1547,45,7
RCB188B_raw,1174,10,12
RCB189A_raw,2076,15,5
RCB189B_raw,2057,14,0
RCB190A_raw,1619,10,17
RCB190B_raw,1646,10,8
RCB191A_raw,1499,10,2
RCB191B_raw,1462,10,1
RCB192A_raw,1398,10,1
RCB192B_raw,2044,45,5
RCB193A_raw,1353,10,22
RCB193B_raw,1305,10,32
RCB194A_raw,1197,45,14
RCB194B_raw,2014,45,2
RCB195A_raw,2134,45,2
RCB199A_raw,1592,45,3
RCB199B_raw,1685,45,5
RCB238A_raw,1959,45,16
RCB238B_raw,1918,45,3
