age_CE,KR0118B_raw,KR0119A_raw,KR0120A_raw,KR0121B_raw,KR0122B_raw,KR0123B_raw,KR0124B_raw,KR0125A_raw,KR0126B_raw,KR0128A_raw,KR0129B_raw,KR0130B_raw,KR0133B_raw,KR0135B_raw,KR0137B_raw,KR0140A_raw,KR0141B_raw,KR0142B_raw,KR0143A_raw,KR0144A_raw,KR0149A_raw,KR0150A_raw,KR0151B_raw,KR0152B_raw,KR0154A_raw,KR0155B_raw,KR0156B_raw,KR0118B_raw_outlier_flag,KR0119A_raw_outlier_flag,KR0120A_raw_outlier_flag,KR0121B_raw_outlier_flag,KR0122B_raw_outlier_flag,KR0123B_raw_outlier_flag,KR0124B_raw_outlier_flag,KR0125A_raw_outlier_flag,KR0126B_raw_outlier_flag,KR0128A_raw_outlier_flag,KR0129B_raw_outlier_flag,KR0130B_raw_outlier_flag,KR0133B_raw_outlier_flag,KR0135B_raw_outlier_flag,KR0137B_raw_outlier_flag,KR0140A_raw_outlier_flag,KR0141B_raw_outlier_flag,KR0142B_raw_outlier_flag,KR0143A_raw_outlier_flag,KR0144A_raw_outlier_flag,KR0149A_raw_outlier_flag,KR0150A_raw_outlier_flag,KR0151B_raw_outlier_flag,KR0152B_raw_outlier_flag,KR0154A_raw_outlier_flag,KR0155B_raw_outlier_flag,KR0156B_raw_outlier_flag
1850,1.03,NA,0.78,1.72,0.28,NA,0.35,1,0.57,0.68,0.16,NA,0.53,NA,0.69,NA,0.61,NA,NA,1.06,0.24,0.8,NA,NA,1.04,0.32,0.62,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1851,0.86,NA,1.63,1.5,0.41,NA,0.46,0.62,0.89,0.84,0.15,NA,1.01,NA,0.61,NA,1.02,NA,NA,1.31,0.47,0.58,NA,NA,1.23,0.61,0.76,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1852,0.67,NA,1.57,1.3,0.37,NA,0.39,0.54,0.92,1.21,0.15,NA,0.99,NA,0.6,NA,0.8,NA,NA,0.67,0.47,0.8,NA,NA,1.21,0.39,0.53,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1853,0.52,NA,1.69,1.22,0.24,NA,0.62,0.67,1.27,1.21,0.16,NA,0.93,NA,0.92,NA,1.27,NA,NA,0.79,0.55,0.63,NA,NA,1.3,0.49,0.63,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1854,0.73,NA,1.54,1.78,0.26,NA,0.74,0.65,1.16,0.93,0.15,NA,0.92,0.76,1.07,NA,1.7,NA,NA,0.65,0.42,0.42,NA,NA,1.2,0.47,1.11,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1855,0.72,NA,1.55,2,0.26,NA,0.74,0.61,1.51,0.76,0.19,NA,1.06,0.68,0.91,NA,1.28,NA,NA,0.89,0.63,0.44,NA,NA,1.23,0.58,0.72,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1856,0.68,NA,1.67,1.9,0.45,NA,0.71,0.43,1.33,0.82,0.6,NA,1.29,0.71,0.76,NA,1.39,NA,NA,0.75,0.44,0.9,NA,NA,0.54,0.53,0.51,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1857,0.39,NA,1.57,1.92,0.38,NA,0.6,0.47,1.19,0.79,0.42,NA,1.08,0.5,0.84,NA,1.2,NA,NA,0.55,0.47,0.66,NA,NA,1,0.72,0.4,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1858,0.73,NA,1.81,2.22,0.77,NA,0.65,0.65,1.42,1.12,0.5,NA,1.07,0.56,1.42,NA,1.44,NA,NA,0.72,0.65,1.04,NA,NA,0.66,1.02,0.04,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1859,0.69,NA,1.62,1.96,0.94,NA,0.55,0.63,1.42,1.12,0.45,NA,0.93,0.92,1.07,NA,1.12,NA,NA,0.65,0.44,0.77,NA,NA,0.27,0.86,0.19,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
