tree,n_missing_total,n_missing_1980_on,n_outliers_total
LTS01A_raw,436,0,0
LTS01B_raw,429,0,0
LTS02A_raw,92,0,3
LTS02B_raw,0,0,5
LTS03A_raw,325,0,1
LTS03B_raw,277,0,1
LTS04A_raw,286,0,4
LTS04B_raw,169,0,0
LTS05A_raw,103,0,2
LTS05B_raw,215,0,2
LTS06A_raw,243,0,2
LTS06B_raw,235,0,2
LTS07A_raw,205,0,2
LTS07B_raw,75,0,1
LTS08A_raw,281,0,3
LTS08B_raw,233,0,2
LTS09A_raw,282,0,0
LTS09B_raw,72,0,1
LTS10A_raw,207,0,5
LTS10B_raw,382,0,2
LTS11A_raw,369,0,2
LTS11B_raw,11,0,0
LTS12A_raw,84,0,4
LTS12B_raw,217,0,1
LTS13A_raw,308,0,0
LTS13B_raw,421,0,1
LTS14A_raw,229,0,2
LTS14B_raw,188,0,1
LTS15A_raw,386,0,1
LTS15B_raw,371,0,2
LTS16A_raw,113,0,1
LTS17A_raw,351,0,2
LTS17B_raw,232,0,3
LTS18A_raw,321,0,0
LTS19A_raw,96,0,0
LTS20A_raw,276,0,3
LTS20B_raw,290,0,1
LTS21A_raw,275,0,3
LTS21B_raw,441,0,0
LTS22A_raw,123,0,3
LTS22B_raw,249,0,1
LTS23A_raw,329,0,1
LTS23B_raw,264,0,2
LTS24A_raw,207,0,3
LTS24B_raw,365,0,0
LTS25A_raw,256,0,1
LTS25B_raw,265,0,3
LTS26B_raw,464,0,4
LTS27A_raw,242,0,2
LTS27B_raw,189,0,2
LTS28A_raw,273,0,3
LTS28B_raw,286,0,5
LTS29A_raw,310,0,5
LTS29B_raw,232,0,11
LTS30A_raw,191,0,0
LTS30B_raw,74,0,2
LTS31A_raw,272,0,3
LTS31B_raw,268,0,0
LTS32A_raw,307,0,2
LTS32B_raw,262,0,1
LTS33A_raw,184,0,0
LTS33B_raw,318,0,1
LTS34A_raw,391,0,2
LTS34B_raw,229,0,0
LTS35A_raw,344,0,2
LTS35B_raw,370,0,0
LTS36A_raw,331,0,2
LTS36B_raw,299,0,2
LTS37A_raw,285,0,1
LTS37B_raw,293,0,2
LTS38A_raw,285,0,2
LTS38B_raw,300,0,3
LTS39A_raw,260,0,3
LTS39B_raw,229,0,1
LTS40A_raw,302,0,3
LTS40B_raw,94,0,2
LTS41A_raw,314,0,1
LTS41B_raw,304,0,1
LTS42A_raw,124,0,4
LTS42B_raw,127,0,4
