tree,n_missing_total,n_missing_1980_on,n_outliers_total
HL1A_raw,131,0,4
HL1B_raw,140,0,5
HL2A_raw,65,31,7
HL2B_raw,0,0,5
HL3A_raw,243,0,1
HL3B_raw,11,0,9
HL4A_raw,331,0,5
HL4B_raw,68,0,1
HL5A_raw,172,0,3
HL5B_raw,141,0,6
HL6A_raw,120,0,0
HL6B_raw,98,0,2
HL7A_raw,107,0,1
HL7B_raw,181,0,4
HL8A_raw,176,0,2
HL8B_raw,261,0,0
HL9A_raw,172,0,0
HL9B_raw,125,0,0
HL10A_raw,81,0,6
HL10B_raw,131,0,2
HL11A_raw,142,0,3
HL11B_raw,111,0,2
HL12A_raw,122,81,2
HL12B_raw,81,81,0
HL13A_raw,61,81,2
HL13B_raw,141,81,0
HL14A_raw,112,0,6
HL14B_raw,210,0,0
HL15B_raw,13,20,4
HL16A_raw,281,0,2
HL16B_raw,205,0,1
HL17A_raw,181,0,2
HL17B_raw,181,0,5
HL18A_raw,169,0,5
HL18B_raw,214,0,4
HL19A_raw,341,0,1
HL19B_raw,250,0,2
HL20A_raw,233,0,0
HL20B-1_raw,46,336,0
HL20B-2_raw,131,0,2
