tree,n_missing_total,n_missing_1980_on,n_outliers_total
GMT014_raw,183,38,7
GMT031_raw,239,38,0
GMT032_raw,217,38,0
GMT071_raw,339,38,0
GMT072_raw,360,38,1
GMT082_raw,277,38,4
GMT131_raw,285,38,2
GMT141_raw,253,43,8
GMT142_raw,259,38,2
GMT171_raw,371,38,2
GMT181_raw,276,38,1
GMT182_raw,291,38,0
GMT211_raw,211,38,2
GMT212_raw,38,38,9
GMT261_raw,328,38,1
GMT262_raw,346,38,0
GMT281_raw,302,38,1
GMT282_raw,305,38,1
GMT311_raw,283,38,3
GMT312_raw,295,38,3
GMT321_raw,288,38,3
GMT324_raw,278,38,1
GMT362_raw,274,38,0
GMT381_raw,259,38,1
GMT382_raw,216,38,3
GMT402_raw,205,38,3
GMT412_raw,263,38,0
GMT421_raw,306,38,1
GMT422_raw,283,43,1
