age_CE,SUN21_raw,SUN22_raw,SUN23_raw,SUN24_raw,SUN25_raw,SUN26_raw,SUN27_raw,SUN28_raw,SUN21_raw_outlier_flag,SUN22_raw_outlier_flag,SUN23_raw_outlier_flag,SUN24_raw_outlier_flag,SUN25_raw_outlier_flag,SUN26_raw_outlier_flag,SUN27_raw_outlier_flag,SUN28_raw_outlier_flag
1931,NA,NA,NA,NA,NA,NA,5.37,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1932,NA,NA,NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1933,NA,NA,NA,NA,8.09,5.53,7.72,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA
1934,NA,NA,NA,NA,8.24,6.48,7.11,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA
1935,NA,NA,NA,NA,5.09,6.29,7.44,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA
1936,NA,NA,NA,NA,5.32,7.25,8.36,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA
1937,NA,NA,NA,NA,5.6,6.47,7.74,5.03,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1938,NA,NA,NA,4.63,5.07,10.66,6.82,4.55,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1939,NA,6.69,NA,4.82,5.33,10.57,5.3,4.48,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1940,NA,5.08,NA,3.88,4.3,6.9,3.27,3.14,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1941,NA,7.07,NA,5.22,5.6,10.39,4.82,4.27,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1942,NA,6.52,NA,6.41,4.88,8.35,4.95,3.87,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1943,NA,6.52,NA,5.52,4.98,7.58,3.66,5,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1944,NA,5.61,NA,5.09,5.03,6.34,3.51,4.19,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1945,NA,6.96,NA,6.28,4.51,7.1,3.42,5.16,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
