tree,n_missing_total,n_missing_1980_on,n_outliers_total
96F200a_raw,110,28,1
96F200b_raw,148,29,1
96F201a_raw,141,28,2
96F201b_raw,135,28,0
96F202a_raw,75,28,0
96F203a_raw,101,28,3
96F203b_raw,92,28,6
96F204a_raw,99,28,2
96F204b_raw,39,28,6
96F205a_raw,129,28,3
96F205b_raw,92,28,4
96F206a_raw,94,28,2
96F206b_raw,94,28,2
96F207a_raw,161,28,2
96F207b_raw,127,28,0
96F208a_raw,131,28,3
96F208b_raw,128,30,2
96F209a_raw,110,28,5
96F209b_raw,112,28,2
96F210a_raw,49,28,4
96F210b_raw,48,28,2
96F211a_raw,67,28,4
96F211b_raw,82,28,5
96F212b_raw,35,28,1
96F213a_raw,100,28,5
96F213b_raw,73,28,4
96F214a_raw,39,38,5
96F214b_raw,28,28,1
96F215a_raw,192,28,1
96F215b_raw,165,28,4
96F216a_raw,101,45,3
96F216b_raw,63,28,5
96F217a_raw,114,28,3
96F217b_raw,57,28,7
96F218a_raw,42,28,4
96F218b_raw,57,28,1
96F219b_raw,120,28,2
