tree,n_missing_total,n_missing_1980_on,n_outliers_total
DYE01A_raw,338,19,2
DYE02A_raw,357,19,0
DYE03A_raw,328,19,3
DYE04A_raw,286,19,1
DYE05A_raw,337,19,2
DYE06A_raw,366,19,0
DYE07A_raw,258,19,2
DYE09A_raw,268,19,2
DYE10A_raw,358,19,1
DYE11A_raw,400,21,0
DYE12A_raw,349,19,0
DYE13A_raw,308,19,1
DYE14A_raw,331,19,2
DYE15A_raw,257,19,1
DYE16A_raw,338,19,1
DYE17A_raw,278,19,3
DYE18A_raw,310,19,1
DYE19A_raw,346,19,2
DYE20A_raw,318,19,2
DYE21A_raw,301,19,3
DYE23A_raw,290,19,3
DYE24A_raw,334,19,3
DYE26A_raw,307,19,2
DYE27A_raw,359,45,1
DYE27B_raw,379,19,0
DYE29A_raw,289,19,0
DYE30A_raw,345,19,0
DYE31A_raw,341,19,0
DYE32A_raw,368,19,0
DYE33A_raw,316,19,2
DYE34A_raw,338,19,1
DYE36A_raw,296,19,3
DYE38A_raw,300,19,3
DYE39A_raw,290,19,3
DYE40A_raw,320,19,0
DYE41A_raw,271,45,2
DYE42A_raw,367,19,1
DYE44A_raw,362,19,2
DYE47A_raw,168,19,1
DYE48A_raw,276,19,2
DYE48B_raw,263,19,2
DYE49A_raw,270,19,4
DYE51A_raw,273,45,0
DYE52A_raw,186,20,4
DYE52B_raw,185,19,5
DYE53A_raw,149,19,2
DYE55A_raw,313,45,1
DYE58A_raw,133,19,1
DYE59A_raw,175,19,4
DYE62A_raw,226,19,2
DYE63A_raw,200,19,2
DYE65A_raw,309,19,2
DYE67A_raw,264,19,2
DYE68B_raw,218,19,4
DYE69A_raw,203,19,2
DYE70A_raw,313,19,2
DYE70B_raw,329,19,0
DYE71A_raw,352,45,0
DYE77A_raw,244,45,2
DYE78A_raw,317,45,0
DYE81A_raw,320,45,1
DYE83A_raw,221,45,4
DYE83B_raw,269,45,2
DYE85A_raw,180,45,0
DYE85B_raw,351,45,0
DYE87A_raw,205,45,0
DYE87B_raw,285,45,1
DYE88A_raw,267,45,1
DYE89A_raw,221,45,0
DYE90B_raw,220,45,4
DYE93A_raw,260,45,1
DYE93B_raw,179,45,3
DYE98A_raw,272,45,4
DYE98B_raw,297,45,2
DYE101A_raw,245,45,0
DYE102A_raw,241,45,0
DYE103A_raw,264,45,4
DYE105A_raw,250,45,2
DYE106A_raw,224,45,5
DYE106B_raw,232,45,4
DYE106C_raw,228,45,4
DYE107A_raw,277,45,2
DYE108A_raw,271,45,1
DYE108B_raw,126,45,8
DYE109A_raw,162,45,5
DYE109B_raw,165,45,7
DYE110A_raw,335,45,0
DYE110B_raw,323,45,0
DYE111A_raw,198,45,1
DYE111B_raw,216,45,2
DYE112A_raw,165,45,5
DYE112B_raw,194,45,10
