tree,n_missing_total,n_missing_1980_on,n_outliers_total
SDR011_raw,379,27,3
SDR012_raw,364,27,1
SDR021_raw,314,27,3
SDR022_raw,322,27,7
SDR031_raw,497,27,3
SDR032_raw,522,27,1
SDR041_raw,481,27,1
SDR042_raw,567,27,0
SDR051_raw,338,27,0
SDR052_raw,288,27,2
SDR11A_raw,451,27,2
SDR12A_raw,472,27,1
SDR13A_raw,450,27,2
SDR14A_raw,393,27,4
SDR14B_raw,370,27,2
SDR14C_raw,344,27,3
SDR14D_raw,345,27,1
SDR15A_raw,49,27,21
SDR15B_raw,27,27,23
SDR16A_raw,295,27,4
SDR16B_raw,260,27,10
SDR17A_raw,231,27,6
SDR17B_raw,364,27,3
SDR18A_raw,298,45,2
SDR18B_raw,392,27,6
SDR19A_raw,501,27,2
SDR20A_raw,486,27,1
SDR21A_raw,211,27,3
