tree,n_missing_total,n_missing_1980_on,n_outliers_total
MHD01A_raw,149,6,1
MHD01B_raw,108,6,3
MHD02A_raw,149,6,2
MHD02B_raw,148,6,1
MHD03A_raw,150,6,1
MHD03B_raw,171,6,2
MHD04A_raw,156,6,2
MHD04B_raw,150,6,1
MHD05A_raw,72,6,3
MHD05B_raw,150,6,2
MHD11A_raw,150,6,1
MHD11B_raw,150,6,2
MHD12A_raw,149,6,1
MHD12B_raw,47,6,2
MHD13A_raw,150,6,3
MHD13B_raw,150,6,5
MHD14A_raw,150,6,3
MHD14B_raw,150,6,4
MHD16A_raw,149,6,1
MHD16B_raw,45,6,3
MHD17A_raw,148,6,2
MHD18A_raw,150,6,2
MHD18B_raw,171,6,2
MHD19A_raw,150,6,1
MHD20A_raw,150,6,0
MHD20B_raw,150,6,0
MHD21A_raw,149,6,2
MHD21B_raw,150,6,0
MHD22A_raw,150,6,0
MHD22B_raw,158,6,1
MHD23A_raw,148,6,0
MHD23B_raw,147,6,2
MHD24A_raw,145,6,1
MHD24B_raw,146,6,1
MHD25A_raw,201,6,2
MHD25B_raw,206,6,0
681011_raw,65,41,3
681012_raw,88,41,4
681021_raw,185,41,2
681022_raw,127,41,0
681031_raw,115,41,1
681032_raw,97,41,0
681051_raw,60,42,0
681052_raw,55,41,1
681061_raw,67,41,2
681062_raw,93,41,1
681071_raw,111,45,0
681072_raw,125,41,0
681081_raw,190,41,1
681082_raw,162,41,0
681091_raw,153,41,2
681092_raw,148,41,3
681111_raw,62,42,14
681112_raw,72,41,2
681121_raw,44,41,0
681122_raw,41,41,0
681131_raw,76,41,0
681132_raw,81,41,0
