tree,n_missing_total,n_missing_1980_on,n_outliers_total
BRP01B_raw,220,26,15
BRP05A_raw,604,26,0
BRP10A_raw,312,26,3
BRP10B_raw,346,26,7
BRP11_raw,520,26,0
BRP14A_raw,307,26,6
BRP15A_raw,431,26,6
BRP15B_raw,440,26,2
BRP16A_raw,423,26,5
BRP16B_raw,323,26,4
BRP17B_raw,353,45,1
BRP18A_raw,26,26,4
BRP18B_raw,64,26,9
BRP19A_raw,371,26,3
BRP19C_raw,354,26,3
BRP20A_raw,335,26,0
BRP20C_raw,471,26,1
BRP21A_raw,290,27,3
BRP21B_raw,291,44,1
BRP22A_raw,200,26,6
BRP22B_raw,200,26,4
BRP23A_raw,469,27,2
BRP23B_raw,493,26,2
BRP24A_raw,468,27,4
BRP24B_raw,449,26,3
BRP25A_raw,121,27,8
BRP25B_raw,141,27,6
