tree,n_missing_total,n_missing_1980_on,n_outliers_total
KR0316B_raw,67,34,0
KR0321B_raw,70,34,0
KR0323B_raw,72,34,1
KR0325B_raw,52,34,0
KR0326B_raw,44,34,0
KR0327A_raw,61,34,0
KR0328A_raw,72,34,0
KR0329A_raw,75,34,0
KR0330A_raw,34,34,0
KR0331A_raw,72,34,0
KR0332B_raw,71,34,0
KR0333B_raw,73,34,0
KR0336A_raw,79,34,0
KR0337B_raw,48,34,0
KR0340B_raw,69,34,1
KR0341A_raw,69,34,0
KR0343B_raw,67,34,2
KR0344A_raw,34,34,1
KR0346A_raw,37,34,1
KR0347A_raw,76,34,0
KR0348A_raw,66,34,1
KR0349B_raw,52,34,2
KR0350A_raw,39,34,0
KR0351B_raw,34,34,1
KR0352A_raw,64,34,0
KR0353B_raw,49,34,0
