tree,n_missing_total,n_missing_1980_on,n_outliers_total
644011_raw,322,45,7
644012_raw,195,45,8
644021_raw,212,45,1
644022_raw,264,45,3
644031_raw,269,45,7
644032_raw,287,45,6
644041_raw,159,45,8
644042_raw,328,45,7
644051_raw,112,45,7
644052_raw,229,45,3
644061_raw,293,45,2
644062_raw,284,45,4
644071_raw,283,45,2
644072_raw,361,45,8
644081_raw,199,45,3
644082_raw,324,45,5
644091_raw,253,45,5
644092_raw,301,45,6
644101_raw,396,45,1
644102_raw,409,45,3
644111_raw,48,45,8
644112_raw,184,45,6
644121_raw,162,45,5
644122_raw,184,45,2
644131_raw,172,45,6
644132_raw,257,45,8
644141_raw,225,45,1
644142_raw,189,45,6
