"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Nearest Town","Public Latitude","Public Longitude","Collection Methodology","Point Count Station","Subpoint","Elevation (metres)","Slope (degrees)","Aspect (degrees)"
Prototype,630,2003,13-Jun-03,CS,Wabasca,56.071377,-113.253578,1,1,P,       639,6,168,
Prototype,638,2003,10-Jun-03,KB,Conklin,55.781212,-110.729614,1,1,P,       574,2,219,
Prototype,655,2003,10-Jun-03,CS,Red Earth,56.103893,-115.517708,1,1,P,       676,0,VNA,
Prototype,656,2003,12-Jun-03,CS,Slave Lake,56.088947,-115.157852,1,1,P,       659,2,98,
Prototype,661,2003,14-Jun-03,CS,Wabasca,55.939598,-113.585197,1,1,P,       577,8,213,
Prototype,669,2003,04-Jun-03,KB,Conklin,55.636261,-111.128052,1,1,P,       563,0,VNA,
Prototype,687,2003,14-Jun-03,JS,Slave Lake,55.888378,-115.154457,1,1,P,       645,1,258,
Prototype,690,2003,30-May-03,KB,Slave Lake,55.789543,-114.290833,1,1,P,       635,0,VNA,
Prototype,702,2003,01-Jun-03,KB,Conklin,55.394737,-110.568474,1,1,P,       604,0,VNA,
Prototype,717,2003,11-Jun-03,CS,Slave Lake,55.742378,-115.578911,1,1,P,       697,8,155,
Prototype,718,2003,12-Jun-03,JS,Slave Lake,55.723232,-115.245811,1,1,P,       710,1,255,
Prototype,720,2003,10-Jun-03,EB,Slave Lake,55.686321,-114.670769,1,1,P,       710,1,245,
Prototype,721,2003,11-Jun-03,JS,Slave Lake,55.624916,-114.345428,1,1,P,       763,1,115,
Prototype,723,2003,30-May-03,EK,Slave Lake,55.585331,-113.688354,1,1,P,       893,1,176,
Prototype,752,2003,31-May-03,EK,Slave Lake,55.42271,-114.355591,1,1,P,       706,0,VNA,
Prototype,753,2003,13-Jun-03,JS,Slave Lake,55.416237,-114.079887,1,1,P,       738,3,168,
Prototype,760,2003,17-Jun-03,KB,Lac La Biche,55.164566,-111.923866,1,1,P,       629,1,144,
Prototype,761,2003,13-Jun-03,KB,Lac La Biche,55.156345,-111.656158,1,1,P,       651,6,65,
Prototype,782,2003,29-May-03,JB/KB,Slave Lake,55.360718,-115.04541,1,1,P,       663,13,DNC,
Prototype,785,2003,29-May-03,EK,Slave Lake,55.251911,-114.198654,1,1,P,       598,2,70,
Prototype,790,2003,15-Jun-03,JB/KB,Lac La Biche,55.093498,-112.52639,1,1,P,       558,0,VNA,
Prototype,791,2003,16-Jun-03,KB,Lac La Biche,55.034576,-112.233109,1,1,P,       568,0,VNA,
Prototype,792,2003,14-Jun-03,JB/KB,Lac La Biche,55.02652,-112.013039,1,1,P,       559,6,249,
Prototype,793,2003,12-Jun-03,KB,Lac La Biche,54.976463,-111.730118,1,1,P,       613,8,252,
Prototype,816,2003,28-May-03,CS/EK,Slave Lake,55.088943,-114.516335,1,1,P,       749,2,38,
Prototype,818,2003,18-Jun-03,KB,Slave Lake,55.047272,-113.870064,1,1,P,       689,10,155,
Prototype,825,2003,11-Jun-03,KB,Lac La Biche,54.811955,-111.665276,1,1,P,       622,3,208,
Prototype,846,2003,17-Jun-03,EK,Swan Hills,54.963406,-115.101395,1,1,P,      1098,1,78,
Prototype,848,2003,15-Jun-03,EB/EK,Slave Lake,54.902222,-114.573601,1,1,P,       706,1,VNA,
Prototype,878,2003,16-Jun-03,EK,Swan Hills,54.794971,-115.19751,1,1,P,      1193,3,126,
Prototype,478,2004,10-Jun-04,MM,Fort McMurray,56.848339,-111.667648,1,1,P,       446,0,VNA,
Prototype,480,2004,10-Jun-04,SV,Fort McMurray,56.739231,-110.993187,1,1,P,       472,0,VNA,
