"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Tree Core Type","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number","Significant Tree Damage"
Prototype,630,2003,13-Jun-03,CS/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,NW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,SE,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,SW,Leading Species,White Spruce,Picea glauca,Species,99004836,PNA,
Prototype,630,2003,13-Jun-03,CS/EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,NE,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,NW,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,SE,Leading Species,Trembling Aspen,Populus tremuloides,Species,99003483,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,SW,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,638,2003,10-Jun-03,JB/KB,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,655,2003,10-Jun-03,EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,655,2003,10-Jun-03,EK,NE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,655,2003,10-Jun-03,EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,655,2003,10-Jun-03,EK,NW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,655,2003,10-Jun-03,EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,655,2003,10-Jun-03,EK,SE,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,655,2003,10-Jun-03,EK,SE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,655,2003,10-Jun-03,EK,SW,Leading Species,Black Spruce,Picea mariana,Species,99004837,PNA,
Prototype,655,2003,10-Jun-03,EK,SW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,1Ha,Largest Tree,VNA,VNA,VNA,VNA,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,NE,Leading Species,VNA,VNA,VNA,VNA,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,NE,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,NW,Leading Species,Balsam Poplar,Populus balsamifera,Species,99003480,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,NW,Secondary Species,VNA,VNA,VNA,VNA,PNA,
Prototype,656,2003,12-Jun-03,CS/EK,SE,Leading Species,VNA,VNA,VNA,VNA,PNA,
