"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Sub-ordinal transect","Canopy Cover Location","Canopy Closure (Open dots)"
Prototype,630,2003,18-Jul-03,EK/KB,NE,1,4,
Prototype,630,2003,18-Jul-03,EK/KB,NE,2,24,
Prototype,630,2003,18-Jul-03,EK/KB,NW,1,3,
Prototype,630,2003,18-Jul-03,EK/KB,NW,2,7,
Prototype,630,2003,18-Jul-03,EK/KB,SE,1,12,
Prototype,630,2003,18-Jul-03,EK/KB,SE,2,16,
Prototype,630,2003,18-Jul-03,EK/KB,SW,1,8,
Prototype,630,2003,18-Jul-03,EK/KB,SW,2,6,
Prototype,638,2003,08-Jul-03,EK/KB,NE,1,94,
Prototype,638,2003,08-Jul-03,EK/KB,NE,2,74,
Prototype,638,2003,08-Jul-03,EK/KB,NW,1,94,
Prototype,638,2003,08-Jul-03,EK/KB,NW,2,28,
Prototype,638,2003,08-Jul-03,EK/KB,SE,1,92,
Prototype,638,2003,08-Jul-03,EK/KB,SE,2,94,
Prototype,638,2003,08-Jul-03,EK/KB,SW,1,90,
Prototype,638,2003,08-Jul-03,EK/KB,SW,2,96,
Prototype,655,2003,03-Jul-03,EB/JB,NE,1,7,
Prototype,655,2003,03-Jul-03,EB/JB,NE,2,2,
Prototype,655,2003,03-Jul-03,EB/JB,NW,1,93,
Prototype,655,2003,03-Jul-03,EB/JB,NW,2,96,
Prototype,655,2003,03-Jul-03,EB/JB,SE,1,87,
Prototype,655,2003,03-Jul-03,EB/JB,SE,2,86,
Prototype,655,2003,03-Jul-03,EB/JB,SW,1,86,
Prototype,655,2003,03-Jul-03,EB/JB,SW,2,93,
Prototype,656,2003,04-Jul-03,EB/JB,NE,1,8,
Prototype,656,2003,04-Jul-03,EB/JB,NE,2,79,
Prototype,656,2003,04-Jul-03,EB/JB,NW,1,65,
Prototype,656,2003,04-Jul-03,EB/JB,NW,2,2,
Prototype,656,2003,04-Jul-03,EB/JB,SE,1,89,
Prototype,656,2003,04-Jul-03,EB/JB,SE,2,24,
Prototype,656,2003,04-Jul-03,EB/JB,SW,1,0,
Prototype,656,2003,04-Jul-03,EB/JB,SW,2,13,
Prototype,661,2003,19-Jul-03,EK/KB,NE,1,60,
Prototype,661,2003,19-Jul-03,EK/KB,NE,2,84,
Prototype,661,2003,19-Jul-03,EK/KB,NW,1,96,
Prototype,661,2003,19-Jul-03,EK/KB,NW,2,93,
Prototype,661,2003,19-Jul-03,EK/KB,SE,1,25,
Prototype,661,2003,19-Jul-03,EK/KB,SE,2,14,
Prototype,661,2003,19-Jul-03,EK/KB,SW,1,96,
Prototype,661,2003,19-Jul-03,EK/KB,SW,2,3,
Prototype,669,2003,09-Jul-03,EK/KB,NE,1,96,
Prototype,669,2003,09-Jul-03,EK/KB,NE,2,96,
Prototype,669,2003,09-Jul-03,EK/KB,NW,1,96,
Prototype,669,2003,09-Jul-03,EK/KB,NW,2,92,
Prototype,669,2003,09-Jul-03,EK/KB,SE,1,14,
Prototype,669,2003,09-Jul-03,EK/KB,SE,2,8,
Prototype,669,2003,09-Jul-03,EK/KB,SW,1,94,
Prototype,669,2003,09-Jul-03,EK/KB,SW,2,96,
Prototype,687,2003,26-Jul-03,EB/EK/KB,NE,1,18,
Prototype,687,2003,26-Jul-03,EB/EK/KB,NE,2,31,
Prototype,687,2003,26-Jul-03,EB/EK/KB,NW,1,16,
Prototype,687,2003,26-Jul-03,EB/EK/KB,NW,2,5,
Prototype,687,2003,26-Jul-03,EB/EK/KB,SE,1,10,
Prototype,687,2003,26-Jul-03,EB/EK/KB,SE,2,8,
Prototype,687,2003,26-Jul-03,EB/EK/KB,SW,1,14,
Prototype,687,2003,26-Jul-03,EB/EK/KB,SW,2,96,
Prototype,690,2003,07-Jul-03,EB/JB,NE,1,6,
Prototype,690,2003,07-Jul-03,EB/JB,NE,2,1,
Prototype,690,2003,07-Jul-03,EB/JB,NW,1,78,
Prototype,690,2003,07-Jul-03,EB/JB,NW,2,89,
Prototype,690,2003,07-Jul-03,EB/JB,SE,1,46,
Prototype,690,2003,07-Jul-03,EB/JB,SE,2,78,
Prototype,690,2003,07-Jul-03,EB/JB,SW,1,55,
Prototype,690,2003,07-Jul-03,EB/JB,SW,2,9,
Prototype,701,2003,07-Jul-03,EK/KB,NE,1,93,
Prototype,701,2003,07-Jul-03,EK/KB,NE,2,96,
Prototype,701,2003,07-Jul-03,EK/KB,NW,1,84,
Prototype,701,2003,07-Jul-03,EK/KB,NW,2,72,
Prototype,701,2003,07-Jul-03,EK/KB,SE,1,78,
Prototype,701,2003,07-Jul-03,EK/KB,SE,2,90,
Prototype,701,2003,07-Jul-03,EK/KB,SW,1,36,
Prototype,701,2003,07-Jul-03,EK/KB,SW,2,76,
Prototype,702,2003,06-Jul-03,EK/KB,NE,1,17,
Prototype,702,2003,06-Jul-03,EK/KB,NE,2,96,
Prototype,702,2003,06-Jul-03,EK/KB,NW,1,6,
Prototype,702,2003,06-Jul-03,EK/KB,NW,2,94,
Prototype,702,2003,06-Jul-03,EK/KB,SE,1,96,
Prototype,702,2003,06-Jul-03,EK/KB,SE,2,96,
Prototype,702,2003,06-Jul-03,EK/KB,SW,1,96,
Prototype,702,2003,06-Jul-03,EK/KB,SW,2,96,
Prototype,717,2003,02-Jul-03,EB/JB,NE,1,14,
Prototype,717,2003,02-Jul-03,EB/JB,NE,2,6,
Prototype,717,2003,02-Jul-03,EB/JB,NW,1,3,
Prototype,717,2003,02-Jul-03,EB/JB,NW,2,10,
Prototype,717,2003,02-Jul-03,EB/JB,SE,1,6,
Prototype,717,2003,02-Jul-03,EB/JB,SE,2,2,
Prototype,717,2003,02-Jul-03,EB/JB,SW,1,8,
Prototype,717,2003,02-Jul-03,EB/JB,SW,2,10,
Prototype,718,2003,17-Jul-03,EK/KB,NE,1,29,
Prototype,718,2003,17-Jul-03,EK/KB,NE,2,21,
Prototype,718,2003,17-Jul-03,EK/KB,NW,1,18,
Prototype,718,2003,17-Jul-03,EK/KB,NW,2,13,
Prototype,718,2003,17-Jul-03,EK/KB,SE,1,5,
Prototype,718,2003,17-Jul-03,EK/KB,SE,2,9,
Prototype,718,2003,17-Jul-03,EK/KB,SW,1,21,
Prototype,718,2003,17-Jul-03,EK/KB,SW,2,9,
Prototype,720,2003,08-Jul-03,EB/JB,NE,1,7,
Prototype,720,2003,08-Jul-03,EB/JB,NE,2,1,
