GymAngio,Season,Analysis,clim_var,R2
Gymnosperms,Dry season,Path,P,0.21
Gymnosperms,Dry season,Surface,P,0.13
Gymnosperms,Dry season,Mult Regr,P,0.09
Gymnosperms,Wet season,Path,P,0.02
Gymnosperms,Wet season,Surface,P,0.04
Gymnosperms,Wet season,Mult Regr,P,0.02
Angiosperms,Dry season,Path,P,0.08
Angiosperms,Dry season,Surface,P,0.14
Angiosperms,Dry season,Mult Regr,P,0.07
Angiosperms,Wet season,Path,P,0.17
Angiosperms,Wet season,Surface,P,0.16
Angiosperms,Wet season,Mult Regr,P,0.15
Gymnosperms,Dry season,Path,VPD,0.11
Gymnosperms,Dry season,Surface,VPD,0.06
Gymnosperms,Dry season,Mult Regr,VPD,0.03
Gymnosperms,Wet season,Path,VPD,0.03
Gymnosperms,Wet season,Surface,VPD,0.03
Gymnosperms,Wet season,Mult Regr,VPD,0.02
Angiosperms,Dry season,Path,VPD,0.04
Angiosperms,Dry season,Surface,VPD,0.06
Angiosperms,Dry season,Mult Regr,VPD,0.04
Angiosperms,Wet season,Path,VPD,0.08
Angiosperms,Wet season,Surface,VPD,0.11
Angiosperms,Wet season,Mult Regr,VPD,0.07
Gymnosperms,Dry season,Path,CWD,0.23
Gymnosperms,Dry season,Surface,CWD,0.05
Gymnosperms,Dry season,Mult Regr,CWD,0.08
Gymnosperms,Wet season,Path,CWD,0.04
Gymnosperms,Wet season,Surface,CWD,0.06
Gymnosperms,Wet season,Mult Regr,CWD,0.04
Angiosperms,Dry season,Path,CWD,0.04
Angiosperms,Dry season,Surface,CWD,0.14
Angiosperms,Dry season,Mult Regr,CWD,0.02
Angiosperms,Wet season,Path,CWD,0.05
Angiosperms,Wet season,Surface,CWD,0.07
Angiosperms,Wet season,Mult Regr,CWD,0.05
