Plot_ID,Year_sampled,Plot_size,Coreplot_size,Subplot_size,UTM_easting,UTM_northing,Mtn_range,Conifer,Stand_type,Elevation,Aspect,Slope,Stand_age,Avg_browse_leader,Avg_browse_branch
J01,2011,0.051,0.0358,0.0025,655807,4646897,Jarbidge,N,Montane,2211,16.9,17.8,1858,0.8,0.66
J02,2011,0.0293,0.0212,0.0025,662066,4646160,Jarbidge,N,Montane,2171,64.5,10.4,1922,0.13,0.11
J03,2011,0.0457,0.0253,0.0025,662157,4645774,Jarbidge,Y,Montane,2155,357.6,6,1901,0.2,0.09
J04,2011,0.051,0.0344,0.0025,660227,4643891,Jarbidge,N,Riparian,2205,167.1,5.3,1865,0.59,0.22
J05,2011,0.0552,0.0331,0.0025,659661,4643560,Jarbidge,Y,Montane,2273,131.9,6.7,1867,0.79,0.53
J06,2010,0.0742,0.0643,0.0025,657870,4643278,Jarbidge,Y,Montane,2395,214.3,10.8,1918,0.31,0.09
J07,2011,0.0433,0.0301,0.0025,659199,4643420,Jarbidge,Y,Montane,2312,116.7,10.8,1922,0.42,0.26
J08,2010,0.0535,0.0373,0.0025,627257,4632062,Jarbidge,Y,Montane,2591,149.7,13.7,1959,0,0.15
J09,2011,0.0179,0.0133,0.0025,634923,4638016,Jarbidge,N,Montane,2465,71,16.4,1861,0.25,0.24
J10,2010,0.046,0.0184,0.0025,647845,4636145,Jarbidge,N,Montane,2468,156.2,17.1,1897,0.33,0.31
J11,2010,0.0555,0.0404,0.0025,628067,4635285,Jarbidge,Y,Montane,2377,65.6,17.9,1915,0.31,0.21
J12,2010,0.069,0.028,0.0025,630925,4622468,Jarbidge,N,Montane,2393,173.5,11.4,1874,0,0.05
J13,2011,0.054,0.0483,0.0025,595329,4649567,Jarbidge,N,Montane,1963,344.3,22.7,1860,0.37,0.09
J14,2011,0.0256,0.0151,0.0025,594527,4647646,Jarbidge,N,Montane,2097,68.2,5.3,1919,0.35,0.12
J15,2011,0.0368,0.0248,0.001575,593862,4641974,Jarbidge,N,Montane,2049,17.3,16,1868,0.43,0.15
J16,2011,0.0635,0.0347,0.0025,592739,4640413,Jarbidge,N,Montane,2044,14.1,23.1,1866,0.46,0.38
J17,2010,0.076,0.06,0.0025,598170,4638977,Jarbidge,Y,Montane,2070,22.4,24.4,1903,0.29,0.16
J18,2010,0.028,0.015,0.0025,600283,4638323,Jarbidge,N,Riparian,2101,80.6,7.9,1952,0.3,0.04
J19,2011,0.0542,0.0396,0.0025,593197,4638221,Jarbidge,N,Riparian,2085,27.2,3.4,1933,0,0.05
J20,2011,0.0696,0.0426,0.0025,597962,4637812,Jarbidge,Y,Montane,2168,36.7,25.8,1917,0.2,0.04
J21,2010,0.05,0.03,0.0025,599080,4636742,Jarbidge,Y,Montane,2216,12.5,10,1903,0.5,0.1
J22,2010,0.05,0.028,0.0025,576385,4630916,Jarbidge,Y,Montane,1935,6,18.5,1840,0.11,0.05
J23,2011,0.0263,0.0167,0.0025,612156,4629472,Jarbidge,N,Montane,2186,7.8,11.9,1914,0.43,0.07
J24,2010,0.027,0.023,0.0025,613105,4628552,Jarbidge,N,Riparian,2313,12.5,15.3,1941,0.04,0
J25,2010,0.05,0.035,0.0025,575120,4628012,Jarbidge,Y,Riparian,2267,325.1,3.6,1903,0.18,0.11
J26,2011,0.0319,0.0207,0.0025,574525,4627783,Jarbidge,Y,Montane,2332,133.8,2.9,1928,0.16,0.05
J27,2011,0.0461,0.0299,0.0025,575348,4627698,Jarbidge,N,Montane,2334,335,9.5,1953,0,0.03
J28,2011,0.069,0.0435,0.0025,613560,4626408,Jarbidge,N,Riparian,2253,207,8.2,1866,0.22,0.14
J29,2010,0.102,0.063,0.0025,577448,4626402,Jarbidge,N,Riparian,2197,138.2,11.1,1865,0,0.01
J30,2011,0.0792,0.073,0.0025,575688,4625811,Jarbidge,Y,Montane,2298,92.8,10,1908,0.3,0.15
J31,2011,0.047,0.0423,0.0025,573839,4625343,Jarbidge,N,Montane,2321,313.8,5.8,1891,0.3,0.09
J32,2011,0.0894,0.0198,0.0025,572775,4624321,Jarbidge,N,Riparian,2065,202.3,9.9,1889,0.08,0.09
J33,2010,0.0315,0.0183,0.0025,611218,4624170,Jarbidge,N,Montane,2108,308.4,8.1,1950,0,0.04
J34,2010,0.1012,0.0206,0.0025,612420,4624986,Jarbidge,N,Montane,2255,341.1,17.5,1871,0.6,0.05
J35,2010,0.053,0.0438,0.0025,628935,4623776,Jarbidge,N,Riparian,2330,230.6,5,1896,0.88,0.65
J36,2011,0.109,0.077,0.0025,627488,4623416,Jarbidge,N,Montane,2243,223.7,6.8,1881,0.27,0.18
J37,2010,0.067,0.03,0.0025,627479,4621568,Jarbidge,N,Montane,2213,194.9,17.7,1855,0.22,0.07
J38,2010,0.058,0.042,0.0025,585302,4616140,Jarbidge,N,Montane,2111,340.4,17.9,1927,0.2,0.04
J39,2011,0.0506,0.0343,0.0025,580647,4615732,Jarbidge,N,Montane,1924,332.1,25.1,1934,0,0.04
J40,2010,0.0645,0.047,0.0025,578259,4596074,Jarbidge,N,Montane,1993,346.7,20.6,1880,0.43,0.06
R01,2011,0.012,0.0096,0.0025,661171,4545316,Ruby,N,Snow pocket,2457,49.4,12.1,1933,0.03,0
R02,2011,0.0363,0.0315,0.0025,661333,4545219,Ruby,N,Riparian,2449,121.2,5.7,1895,0.07,0.02
R03,2010,0.017,0.0123,0.0025,663532,4544179,Ruby,N,Montane,2084,76.8,11.7,1974,0.04,0
R04,2011,0.0915,0.0453,0.0025,662604,4542476,Ruby,N,Montane,2227,17.4,25.1,1889,0.1,0.09
R05,2010,0.011,0.0067,0.0025,660644,4534730,Ruby,N,Riparian,2384,54.3,13.1,1973,0.9,0.47
R06,2011,0.066,0.0412,0.0025,647496,4522168,Ruby,N,Montane,2217,77.7,19,1898,0.38,0.1
R07,2010,0.0205,0.0084,0.0025,645752,4518150,Ruby,N,Montane,2192,353.7,19.8,1964,0,0.03
R08,2011,0.0477,0.03,0.0025,650059,4515528,Ruby,N,Montane,2166,139.2,11.8,1924,0.65,0.34
R09,2011,0.0239,0.015,0.0025,649473,4514920,Ruby,N,Riparian,2248,130.7,10.3,1903,0.7,0.24
R10,2010,0.1,0.062,0.0025,650267,4514540,Ruby,N,Riparian,2128,112.6,8.1,1915,0.17,0.05
R11,2010,0.047,0.024,0.0025,649781,4514732,Ruby,N,Montane,2212,78.9,14.7,1931,0.08,0.02
R12,2010,0.0247,0.022,0.0025,644758,4514437,Ruby,N,Montane,2446,353.5,28.3,1898,0,0
R13,2010,0.0315,0.02,0.0025,649916,4514112,Ruby,N,Montane,2175,101.2,12.4,1936,0.14,0.01
R14,2010,0.0145,0.009,0.0025,650014,4512781,Ruby,N,Montane,2067,111.3,5.6,1900,0.48,0.03
R15,2011,0.0241,0.0187,0.0025,649629,4512679,Ruby,N,Montane,2120,115.7,11,1926,0.16,0.14
R16,2010,0.0771,0.057,0.0025,630610,4502812,Ruby,N,Montane,2142,5.9,15.4,1876,0.81,0.13
R17,2011,0.0698,0.045,0.0025,640077,4494076,Ruby,N,Montane,2296,73.3,15.7,1876,0.12,0.03
R18,2011,0.0099,0.008,0.0025,638305,4491277,Ruby,N,Montane,2342,63,11.9,1966,0.85,0.28
R19,2011,0.044,0.034,0.0025,639297,4491084,Ruby,N,Riparian,2158,98,5.2,1954,0.1,0.09
R20,2010,0.0608,0.0057,0.0025,635387,4480281,Ruby,N,Riparian,2008,26.8,7.4,1955,0,0
R21,2010,0.0879,0.053,0.0025,624203,4473383,Ruby,N,Montane,2311,314,6.8,1894,0.17,0.04
R22,2010,0.056,0.034,0.0025,628463,4468533,Ruby,N,Montane,2379,23.7,24.3,1883,0.1,0.04
R23,2011,0.0283,0.0184,0.0025,627931,4466768,Ruby,N,Montane,2234,98.9,9.9,1866,0.1,0.06
R24,2011,0.0355,0.0236,0.0025,627451,4468297,Ruby,N,Montane,2387,163.8,7.3,1915,0.18,0.07
R25,2010,0.0297,0.018,0.0025,654025,4530440,Ruby,N,Montane,2496,206.6,15.3,1972,0,0
R26,2010,0.076,0.043,0.0025,632982,4481149,Ruby,N,Montane,2261,39.9,15.9,1919,0,0
R27,2011,0.038,0.0217,0.0025,662565,4541902,Ruby,N,Riparian,2173,135.8,7.6,1918,0.2,0.08
R28,2011,0.051,0.0396,0.0025,647673,4521328,Ruby,N,Montane,2272,109.4,22.1,1895,0.3,0.07
R29,2011,0.0445,0.021,0.0025,635525,4500881,Ruby,N,Snow pocket,2385,349.7,28.9,1905,0.04,0.03
R30,2011,0.0429,0.0279,0.0025,640658,4494582,Ruby,N,Montane,2262,91.5,15.6,1965,0.1,0.13
S01,2011,0.0385,0.0296,0.0025,455009,4615078,Santa Rosa,N,Montane,2125,6.1,17.5,1869,0.3,0.07
S02,2010,0.0266,0.019,0.0025,451967,4614032,Santa Rosa,N,Riparian,2557,65.1,10.3,1926,0,0
S03,2010,0.032,0.0235,0.0025,457985,4614739,Santa Rosa,N,Montane,2014,92.7,9.2,1934,0.17,0.13
S04,2011,0.0199,0.0123,0.0025,451660,4614422,Santa Rosa,N,Montane,2541,98.2,4.8,1926,0.29,0.09
