Elev,Transect,Stage,Count
H,1,1,31
H,1,2,0
H,1,3,0
H,1,4,0
H,2,1,12
H,2,2,4
H,2,3,0
H,2,4,1
H,3,1,6
H,3,2,0
H,3,3,1
H,3,4,0
H,4,1,0
H,4,2,0
H,4,3,0
H,4,4,1
H,5,1,0
H,5,2,2
H,5,3,1
H,5,4,0
H,6,1,0
H,6,2,0
H,6,3,1
H,6,4,1
H,7,1,0
H,7,2,2
H,7,3,2
H,7,4,1
L,1,1,0
L,1,2,0
L,1,3,0
L,1,4,0
L,2,1,0
L,2,2,0
L,2,3,0
L,2,4,0
L,3,1,0
L,3,2,0
L,3,3,0
L,3,4,0
L,4,1,0
L,4,2,0
L,4,3,0
L,4,4,0
L,5,1,0
L,5,2,0
L,5,3,0
L,5,4,1
L,6,1,0
L,6,2,0
L,6,3,0
L,6,4,1
L,7,1,0
L,7,2,0
L,7,3,0
L,7,4,0
L,8,1,0
L,8,2,0
L,8,3,0
L,8,4,0
L,9,1,0
L,9,2,1
L,9,3,1
L,9,4,1
L,10,1,0
L,10,2,0
L,10,3,0
L,10,4,1
M,1,1,0
M,1,2,0
M,1,3,0
M,1,4,0
M,2,1,0
M,2,2,1
M,2,3,1
M,2,4,2
M,3,1,0
M,3,2,0
M,3,3,0
M,3,4,2
M,4,1,0
M,4,2,0
M,4,3,0
M,4,4,2
M,5,1,0
M,5,2,0
M,5,3,0
M,5,4,1
M,6,1,0
M,6,2,0
M,6,3,0
M,6,4,0
M,7,1,0
M,7,2,0
M,7,3,0
M,7,4,1
M,8,1,0
M,8,2,0
M,8,3,2
M,8,4,1
M,9,1,1
M,9,2,4
M,9,3,0
M,9,4,1
