"","Year","Tag","Ring_width(mm)"
"1",1417,"HSU01A",NA
"2",1417,"HSU01B",NA
"3",1417,"HSU02A",NA
"4",1417,"HSU02B",NA
"5",1417,"HSU03A",NA
"6",1417,"HSU04A",NA
"7",1417,"HSU04B",NA
"8",1417,"HSU05A",NA
"9",1417,"HSU05B",NA
"10",1417,"HSU06A",NA
"11",1417,"HSU06B",NA
"12",1417,"HSU07A",NA
"13",1417,"HSU07B",NA
"14",1417,"HSU08A",NA
"15",1417,"HSU08B",NA
"16",1417,"LCU01A",0.583
"17",1417,"LCU01B",NA
"18",1417,"LCU02A",NA
"19",1417,"LCU02B",NA
"20",1417,"LCU03A",NA
"21",1417,"LCU03B",NA
"22",1417,"LCU04A",NA
"23",1417,"LCU04B",NA
"24",1417,"LCU05A",NA
"25",1417,"LCU05B",NA
"26",1417,"LCU06A",NA
"27",1417,"LCU06B",NA
"28",1417,"LCU07A",NA
"29",1417,"LCU07B",NA
"30",1417,"LCU08A",NA
"31",1417,"LCU08B",NA
"32",1417,"LCU09A",NA
"33",1417,"LCU09B",NA
"34",1417,"LCU10A",NA
"35",1417,"LCU10B",NA
"36",1417,"MLU01A",NA
"37",1417,"MLU01B",NA
"38",1417,"MLU02A",NA
"39",1417,"MLU02B",NA
"40",1417,"MLU03A",NA
"41",1417,"MLU03B",NA
"42",1417,"MLU04A",NA
"43",1417,"MLU04B",NA
"44",1417,"MLU05A",NA
"45",1417,"MLU05B",NA
"46",1417,"MLU06A",NA
"47",1417,"MLU06B",NA
"48",1417,"MLU06Bb",NA
"49",1417,"MLU07A",NA
"50",1417,"MLU07B",NA
"51",1417,"MLU08A",NA
"52",1417,"MLU09A",NA
"53",1417,"MLU09B",NA
"54",1417,"MLU10A",NA
"55",1417,"MLU10B",NA
"56",1417,"VMU01A",NA
"57",1417,"VMU01B",NA
"58",1417,"VMU02A",NA
"59",1417,"VMU02B",NA
"60",1417,"VMU03A",NA
"61",1417,"VMU03B",NA
"62",1417,"VMU04A",NA
"63",1417,"VMU04B",NA
"64",1417,"VMU05B",NA
"65",1417,"VMU06A",NA
"66",1417,"VMU06B",NA
"67",1417,"VMU07A",NA
"68",1417,"VMU07B",NA
"69",1417,"VMU08A",NA
"70",1417,"VMU08B",NA
"71",1417,"VMU09A",NA
"72",1417,"VMU09B",NA
"73",1417,"VMU10A",NA
"74",1417,"VMU10B",NA
"75",1418,"HSU01A",NA
"76",1418,"HSU01B",NA
"77",1418,"HSU02A",NA
"78",1418,"HSU02B",NA
"79",1418,"HSU03A",NA
"80",1418,"HSU04A",NA
"81",1418,"HSU04B",NA
"82",1418,"HSU05A",NA
"83",1418,"HSU05B",NA
"84",1418,"HSU06A",NA
"85",1418,"HSU06B",NA
"86",1418,"HSU07A",NA
"87",1418,"HSU07B",NA
"88",1418,"HSU08A",NA
"89",1418,"HSU08B",NA
"90",1418,"LCU01A",0.519
"91",1418,"LCU01B",NA
"92",1418,"LCU02A",NA
"93",1418,"LCU02B",NA
"94",1418,"LCU03A",NA
"95",1418,"LCU03B",NA
"96",1418,"LCU04A",NA
"97",1418,"LCU04B",NA
"98",1418,"LCU05A",NA
"99",1418,"LCU05B",NA
"100",1418,"LCU06A",NA
"101",1418,"LCU06B",NA
"102",1418,"LCU07A",NA
"103",1418,"LCU07B",NA
"104",1418,"LCU08A",NA
"105",1418,"LCU08B",NA
"106",1418,"LCU09A",NA
"107",1418,"LCU09B",NA
"108",1418,"LCU10A",NA
"109",1418,"LCU10B",NA
"110",1418,"MLU01A",NA
"111",1418,"MLU01B",NA
"112",1418,"MLU02A",NA
