"","years","Tag","Ring_width(mm)","LongW","LongE","LatN","LatS"
"1",1284,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"2",1285,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"3",1286,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"4",1287,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"5",1288,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"6",1289,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"7",1290,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"8",1291,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"9",1292,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"10",1293,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"11",1294,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"12",1295,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"13",1296,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"14",1297,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"15",1298,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"16",1299,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"17",1300,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"18",1301,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"19",1302,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"20",1303,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"21",1304,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"22",1305,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"23",1306,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"24",1307,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"25",1308,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"26",1309,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"27",1310,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"28",1311,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"29",1312,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"30",1313,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"31",1314,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"32",1315,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"33",1316,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"34",1317,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"35",1318,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"36",1319,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"37",1320,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"38",1321,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"39",1322,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"40",1323,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"41",1324,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"42",1325,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"43",1326,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"44",1327,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"45",1328,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"46",1329,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
