"","years","Tag","Ring_width(mm)"
"1",1867,"JB118309",NA
"2",1867,"JB118312",NA
"3",1867,"JB118313",NA
"4",1867,"JB118316",NA
"5",1867,"JB118317",NA
"6",1867,"JB118318",NA
"7",1867,"JB118320",NA
"8",1867,"JB118322",NA
"9",1867,"JB118323",NA
"10",1867,"JB118324",NA
"11",1867,"JB118326",NA
"12",1867,"JB118327",NA
"13",1867,"JB118332",NA
"14",1867,"JB118336",NA
"15",1867,"JB130804",NA
"16",1867,"JB130807",NA
"17",1867,"JB130808",NA
"18",1867,"JB130810",NA
"19",1867,"JB130813",NA
"20",1867,"JB130814",NA
"21",1867,"JB130815",NA
"22",1867,"JB130816",NA
"23",1867,"JB130817",NA
"24",1867,"JB130819",NA
"25",1867,"JB130821",NA
"26",1867,"JB130827",NA
"27",1867,"MC195302",NA
"28",1867,"MC195303",NA
"29",1867,"MC195304",NA
"30",1867,"MC195306",NA
"31",1867,"MC195307",NA
"32",1867,"MC195313",NA
"33",1867,"MC195314",NA
"34",1867,"MC195318",NA
"35",1867,"MC195319",NA
"36",1867,"MC195325",NA
"37",1867,"MC195329",NA
"38",1867,"MC216001",NA
"39",1867,"MC216002",NA
"40",1867,"MC216003",NA
"41",1867,"MC216004",NA
"42",1867,"MC216005",NA
"43",1867,"MC216010",NA
"44",1867,"MC216012",NA
"45",1867,"MC216014",NA
"46",1867,"MC216018",NA
"47",1867,"MC216020",NA
"48",1867,"MC216022",NA
"49",1867,"MC216026",NA
"50",1867,"MC216027",NA
"51",1867,"MC216029",NA
"52",1867,"MC216030",NA
"53",1867,"MC216039",NA
"54",1867,"MC231201",NA
"55",1867,"MC231203",NA
"56",1867,"MC231204",NA
"57",1867,"MC231205",NA
"58",1867,"MC231206",NA
"59",1867,"MC231207",NA
"60",1867,"MC231209",NA
"61",1867,"MC231211",NA
"62",1867,"MC231212",NA
"63",1867,"MC231213",NA
"64",1867,"MC231216",NA
"65",1867,"MC231217",NA
"66",1867,"MC231219",NA
"67",1867,"MC231221",NA
"68",1867,"MC231225",NA
"69",1867,"MC231226",NA
"70",1867,"MC231227",NA
"71",1867,"MC231232",NA
"72",1867,"MC231234",NA
"73",1867,"MC255807",NA
"74",1867,"MC255808",NA
"75",1867,"MC255809",NA
"76",1867,"MC255811",NA
"77",1867,"MC255814",NA
"78",1867,"MC255815",NA
"79",1867,"MC255817",NA
"80",1867,"MC255824",NA
"81",1867,"MC255825",NA
"82",1867,"MC255826",NA
"83",1867,"MC255827",NA
"84",1867,"MC255828",NA
"85",1867,"MC255830",NA
"86",1867,"MC255831",0.74
"87",1867,"MC255833",NA
"88",1867,"MC300001",NA
"89",1867,"MC300017",NA
"90",1867,"MC300018",NA
"91",1867,"MC300022",NA
"92",1867,"MC300023",NA
"93",1867,"MC300024",NA
"94",1867,"MC300026",NA
"95",1867,"MC300027",NA
"96",1867,"MC300028",NA
"97",1867,"MC300032",NA
"98",1867,"MC300033",NA
"99",1867,"MC302801",NA
"100",1867,"MC302803",NA
"101",1867,"MC302807",NA
"102",1867,"MC302810",NA
"103",1867,"MC302813",NA
"104",1867,"MC302819",NA
"105",1867,"MC302820",NA
"106",1867,"MC302825",NA
"107",1867,"MC302827",NA
"108",1867,"MC302829",NA
"109",1867,"MC302831",NA
"110",1867,"MC302833",NA
"111",1867,"MC302834",NA
"112",1867,"MC302835",NA
"113",1868,"JB118309",NA
"114",1868,"JB118312",NA
"115",1868,"JB118313",NA
"116",1868,"JB118316",NA
"117",1868,"JB118317",NA
"118",1868,"JB118318",NA
"119",1868,"JB118320",NA
"120",1868,"JB118322",NA
"121",1868,"JB118323",NA
"122",1868,"JB118324",NA
"123",1868,"JB118326",NA
"124",1868,"JB118327",NA
"125",1868,"JB118332",NA
"126",1868,"JB118336",NA
"127",1868,"JB130804",NA
"128",1868,"JB130807",NA
"129",1868,"JB130808",NA
"130",1868,"JB130810",NA
"131",1868,"JB130813",NA
"132",1868,"JB130814",NA
"133",1868,"JB130815",NA
"134",1868,"JB130816",NA
"135",1868,"JB130817",NA
"136",1868,"JB130819",NA
"137",1868,"JB130821",NA
"138",1868,"JB130827",NA
"139",1868,"MC195302",NA
"140",1868,"MC195303",NA
"141",1868,"MC195304",NA
"142",1868,"MC195306",NA
"143",1868,"MC195307",NA
"144",1868,"MC195313",NA
"145",1868,"MC195314",NA
"146",1868,"MC195318",NA
"147",1868,"MC195319",NA
"148",1868,"MC195325",NA
"149",1868,"MC195329",NA
"150",1868,"MC216001",NA
"151",1868,"MC216002",NA
"152",1868,"MC216003",NA
"153",1868,"MC216004",NA
"154",1868,"MC216005",NA
"155",1868,"MC216010",NA
"156",1868,"MC216012",NA
"157",1868,"MC216014",NA
"158",1868,"MC216018",NA
"159",1868,"MC216020",NA
"160",1868,"MC216022",NA
"161",1868,"MC216026",NA
"162",1868,"MC216027",NA
"163",1868,"MC216029",NA
"164",1868,"MC216030",NA
"165",1868,"MC216039",NA
"166",1868,"MC231201",NA
"167",1868,"MC231203",NA
"168",1868,"MC231204",NA
"169",1868,"MC231205",NA
"170",1868,"MC231206",NA
"171",1868,"MC231207",NA
"172",1868,"MC231209",NA
"173",1868,"MC231211",NA
"174",1868,"MC231212",NA
"175",1868,"MC231213",NA
"176",1868,"MC231216",NA
"177",1868,"MC231217",NA
"178",1868,"MC231219",NA
"179",1868,"MC231221",NA
"180",1868,"MC231225",NA
"181",1868,"MC231226",NA
"182",1868,"MC231227",NA
"183",1868,"MC231232",NA
"184",1868,"MC231234",NA
"185",1868,"MC255807",NA
"186",1868,"MC255808",NA
"187",1868,"MC255809",NA
"188",1868,"MC255811",NA
"189",1868,"MC255814",NA
"190",1868,"MC255815",NA
"191",1868,"MC255817",NA
"192",1868,"MC255824",NA
"193",1868,"MC255825",NA
"194",1868,"MC255826",NA
"195",1868,"MC255827",NA
"196",1868,"MC255828",NA
"197",1868,"MC255830",NA
"198",1868,"MC255831",0.73
"199",1868,"MC255833",NA
"200",1868,"MC300001",NA
"201",1868,"MC300017",NA
"202",1868,"MC300018",NA
"203",1868,"MC300022",NA
"204",1868,"MC300023",NA
"205",1868,"MC300024",NA
"206",1868,"MC300026",NA
"207",1868,"MC300027",NA
"208",1868,"MC300028",NA
"209",1868,"MC300032",NA
"210",1868,"MC300033",NA
"211",1868,"MC302801",NA
"212",1868,"MC302803",NA
"213",1868,"MC302807",NA
"214",1868,"MC302810",NA
"215",1868,"MC302813",NA
"216",1868,"MC302819",NA
"217",1868,"MC302820",NA
"218",1868,"MC302825",NA
"219",1868,"MC302827",NA
"220",1868,"MC302829",NA
"221",1868,"MC302831",NA
"222",1868,"MC302833",NA
"223",1868,"MC302834",NA
"224",1868,"MC302835",NA
"225",1869,"JB118309",NA
"226",1869,"JB118312",NA
"227",1869,"JB118313",NA
"228",1869,"JB118316",NA
"229",1869,"JB118317",NA
"230",1869,"JB118318",NA
"231",1869,"JB118320",NA
"232",1869,"JB118322",NA
"233",1869,"JB118323",0.751
"234",1869,"JB118324",NA
"235",1869,"JB118326",NA
"236",1869,"JB118327",NA
"237",1869,"JB118332",NA
"238",1869,"JB118336",NA
"239",1869,"JB130804",NA
"240",1869,"JB130807",NA
"241",1869,"JB130808",NA
"242",1869,"JB130810",NA
"243",1869,"JB130813",NA
"244",1869,"JB130814",NA
"245",1869,"JB130815",NA
"246",1869,"JB130816",NA
"247",1869,"JB130817",NA
"248",1869,"JB130819",NA
"249",1869,"JB130821",NA
"250",1869,"JB130827",NA
"251",1869,"MC195302",NA
"252",1869,"MC195303",NA
"253",1869,"MC195304",NA
"254",1869,"MC195306",NA
"255",1869,"MC195307",NA
"256",1869,"MC195313",NA
"257",1869,"MC195314",NA
"258",1869,"MC195318",NA
"259",1869,"MC195319",NA
"260",1869,"MC195325",NA
"261",1869,"MC195329",NA
"262",1869,"MC216001",NA
"263",1869,"MC216002",NA
"264",1869,"MC216003",NA
"265",1869,"MC216004",NA
"266",1869,"MC216005",NA
"267",1869,"MC216010",NA
"268",1869,"MC216012",NA
"269",1869,"MC216014",NA
"270",1869,"MC216018",NA
"271",1869,"MC216020",NA
"272",1869,"MC216022",NA
"273",1869,"MC216026",NA
"274",1869,"MC216027",NA
"275",1869,"MC216029",NA
"276",1869,"MC216030",NA
"277",1869,"MC216039",NA
"278",1869,"MC231201",NA
"279",1869,"MC231203",NA
"280",1869,"MC231204",NA
"281",1869,"MC231205",NA
"282",1869,"MC231206",NA
"283",1869,"MC231207",NA
"284",1869,"MC231209",NA
"285",1869,"MC231211",NA
"286",1869,"MC231212",NA
