"","years","Tag","Ring_width(mm)"
"1",1902,"RB493001",NA
"2",1902,"RB493004",NA
"3",1902,"RB493005",NA
"4",1902,"RB493007",NA
"5",1902,"RB493010",NA
"6",1902,"RB493011",NA
"7",1902,"RB493012",NA
"8",1902,"RB493013",NA
"9",1902,"RB493014",NA
"10",1902,"RB493015",NA
"11",1902,"RB493016",NA
"12",1902,"RB493017",NA
"13",1902,"RB493018",NA
"14",1902,"RB493042",2.3
"15",1902,"RB557702",NA
"16",1902,"RB557703",NA
"17",1902,"RB557704",NA
"18",1902,"RB557705",NA
"19",1902,"RB557710",NA
"20",1902,"RB557711",NA
"21",1902,"RB557714",NA
"22",1902,"RB557715",NA
"23",1902,"RB557716",NA
"24",1902,"RB557718",NA
"25",1902,"RB557719",NA
"26",1902,"RB557724",NA
"27",1902,"RB557729",NA
"28",1902,"RB561406",NA
"29",1902,"RB561412",NA
"30",1902,"RB561417",NA
"31",1902,"RB561418",NA
"32",1902,"RB561420",NA
"33",1902,"RB561424",NA
"34",1902,"RB561425",NA
"35",1902,"RB561426",NA
"36",1902,"RB561427",NA
"37",1902,"RB561439",NA
"38",1902,"RB561446",NA
"39",1902,"RB564902",NA
"40",1902,"RB564908",NA
"41",1902,"RB564913",NA
"42",1902,"RB564916",NA
"43",1902,"RB564917",NA
"44",1902,"RB564918",NA
"45",1902,"RB564920",NA
"46",1902,"RB564922",NA
"47",1902,"RB564924",NA
"48",1902,"RB564925",NA
"49",1902,"RB564928",NA
"50",1902,"RB564929",NA
"51",1902,"JB564930",NA
"52",1902,"RB622802",NA
"53",1902,"RB622804",NA
"54",1902,"RB622806",NA
"55",1902,"RB622807",NA
"56",1902,"RB622810",NA
"57",1902,"RB622812",NA
"58",1902,"RB622814",NA
"59",1902,"RB622818",NA
"60",1902,"RB622819",NA
"61",1902,"RB622821",NA
"62",1902,"RB622822",NA
"63",1902,"RB622824",NA
"64",1902,"RB622826",NA
"65",1902,"RB622829",NA
"66",1902,"RB622831",NA
"67",1902,"RB689003",NA
"68",1902,"RB689007",NA
"69",1902,"RB689009",NA
"70",1902,"RB689010",NA
"71",1902,"RB689020",NA
"72",1902,"RB689022",NA
"73",1902,"RB689025",NA
"74",1902,"RB689029",NA
"75",1902,"RB689030",NA
"76",1902,"RB689031",NA
"77",1902,"RB689034",NA
"78",1902,"RB689036",NA
"79",1902,"RB730317",NA
"80",1902,"RB730320",NA
"81",1902,"RB730323",NA
"82",1902,"RG730324",NA
"83",1902,"RB730325",NA
"84",1902,"RB730326",NA
"85",1902,"RB730327",NA
"86",1902,"RB730328",NA
"87",1902,"RB730329",NA
"88",1902,"RB730330",1.839
"89",1902,"RB730331",NA
"90",1902,"RB730332",NA
"91",1902,"RB730333",NA
"92",1902,"RB730343",NA
"93",1903,"RB493001",NA
"94",1903,"RB493004",NA
"95",1903,"RB493005",NA
"96",1903,"RB493007",NA
"97",1903,"RB493010",NA
"98",1903,"RB493011",NA
